,nfe,improvements
0,100,29
1,200,33
2,300,40
3,400,46
4,500,49
5,600,50
6,699,53
7,799,55
8,899,59
9,999,62
10,1099,66
11,1199,68
12,1299,70
13,1399,71
14,1499,71
15,1599,73
16,1699,76
17,1799,77
18,1899,78
19,1999,79
20,2099,80
21,2199,81
22,2299,83
23,2399,83
24,2499,84
25,2599,86
26,2699,88
27,2799,88
28,2899,89
29,2999,89
30,3099,89
31,3199,92
32,3299,92
33,3399,93
34,3499,94
35,3599,95
36,3699,96
37,3799,97
38,3899,100
39,3999,103
40,4099,103
41,4199,105
42,4299,106
43,4399,107
44,4499,108
45,4599,108
46,4699,108
47,4799,109
48,4899,109
49,4999,109
50,5099,112
51,5199,112
52,5299,114
53,5399,114
54,5499,114
55,5599,115
56,5699,115
57,5799,115
58,5899,115
59,5999,115
60,6099,115
61,6199,115
62,6299,115
63,6399,115
64,6499,116
65,6599,116
66,6698,117
67,6798,117
68,6898,117
69,6998,117
70,7098,117
71,7198,117
72,7298,117
73,7398,119
74,7498,119
75,7598,119
76,7697,120
77,7797,121
78,7897,121
79,7997,121
80,8097,121
81,8197,122
82,8296,122
83,8396,122
84,8496,123
85,8596,123
86,8696,123
87,8796,123
88,8896,124
89,8996,125
90,9096,125
91,9196,125
92,9296,125
93,9396,125
94,9496,125
95,9596,125
96,9696,125
97,9796,125
98,9896,125
99,10050,125
100,10122,126
101,10194,126
102,10266,126
103,10338,126
104,10410,127
105,10482,127
106,10554,127
107,10625,127
108,10697,129
109,10769,130
110,10841,130
111,10913,130
112,10985,130
113,11057,130
114,11129,130
115,11201,131
116,11273,131
117,11345,131
118,11417,131
119,11489,132
120,11561,132
121,11633,132
122,11705,133
123,11777,133
124,11849,133
125,11921,133
126,11993,133
127,12065,133
128,12137,133
129,12209,133
130,12281,133
131,12353,133
132,12425,133
133,12497,133
134,12569,133
135,12641,133
136,12713,133
137,12785,134
138,12857,135
139,12929,135
140,13001,136
141,13072,136
142,13144,136
143,13216,136
144,13288,136
145,13360,136
146,13432,136
147,13504,136
148,13576,136
149,13648,136
150,13720,136
151,13792,136
152,13864,136
153,13936,136
154,14008,136
155,14080,137
156,14152,137
157,14224,137
158,14296,137
159,14368,137
160,14440,137
161,14510,137
162,14582,137
163,14654,137
164,14726,137
165,14798,138
166,14870,138
167,14941,139
168,15013,140
169,15085,140
170,15157,140
171,15229,140
172,15301,140
173,15373,140
174,15445,140
175,15517,140
176,15589,140
177,15661,140
178,15733,141
179,15805,142
180,15877,143
181,15949,143
182,16021,143
183,16093,143
184,16165,143
185,16237,143
186,16309,144
187,16381,144
188,16453,144
189,16525,144
190,16597,144
191,16669,144
192,16740,144
193,16812,144
194,16884,144
195,16956,144
196,17028,144
197,17100,144
198,17172,144
199,17244,144
200,17316,144
201,17388,144
202,17460,144
203,17532,144
204,17604,144
205,17676,144
206,17748,144
207,17820,144
208,17892,144
209,17964,144
210,18036,144
211,18108,144
212,18180,144
213,18252,144
214,18324,145
215,18396,145
216,18468,145
217,18540,145
218,18612,145
219,18684,145
220,18756,145
221,18828,145
222,18900,145
223,18972,145
224,19044,145
225,19116,145
226,19188,145
227,19260,145
228,19332,145
229,19404,145
230,19476,145
231,19548,145
232,19620,145
233,19692,145
234,19764,145
235,19836,145
236,19908,145
237,19980,145
238,20052,145
239,20124,145
240,20196,145
241,20268,147
242,20340,147
243,20412,148
244,20484,148
245,20556,148
246,20628,148
247,20700,148
248,20772,148
249,20844,148
250,20916,149
251,20988,149
252,21060,149
253,21132,151
254,21204,151
255,21276,151
256,21348,151
257,21420,151
258,21492,151
259,21564,151
260,21636,151
261,21708,151
262,21780,151
263,21852,151
264,21924,151
265,21996,151
266,22068,151
267,22140,151
268,22212,151
269,22284,151
270,22356,151
271,22428,151
272,22500,151
273,22572,152
274,22644,152
275,22716,152
276,22788,152
277,22860,152
278,22932,152
279,23004,152
280,23076,152
281,23148,152
282,23220,152
283,23292,152
284,23364,152
285,23436,152
286,23508,152
287,23580,152
288,23652,152
289,23724,152
290,23796,152
291,23868,152
292,23940,152
293,24012,152
294,24083,152
295,24155,152
296,24227,152
297,24299,152
298,24371,152
299,24443,152
300,24515,152
301,24587,152
302,24659,152
303,24731,152
304,24803,152
305,24875,152
306,24947,152
307,25019,152
308,25091,152
309,25162,152
310,25234,152
311,25306,152
312,25378,152
313,25450,152
314,25522,152
315,25594,152
316,25666,152
317,25738,152
318,25810,152
319,25882,152
320,25954,152
321,26026,152
322,26098,152
323,26170,152
324,26242,152
325,26314,152
326,26386,152
327,26458,152
328,26530,152
329,26602,152
330,26674,152
331,26746,152
332,26818,152
333,26890,152
334,26962,152
335,27034,152
336,27106,152
337,27178,152
338,27250,152
339,27322,152
340,27394,152
341,27466,152
342,27538,152
343,27610,153
344,27682,153
345,27754,153
346,27826,153
347,27898,153
348,27970,153
349,28042,153
350,28114,153
351,28186,153
352,28258,153
353,28330,153
354,28402,153
355,28474,153
356,28546,153
357,28618,153
358,28690,153
359,28762,153
360,28834,153
361,28905,153
362,28977,153
363,29049,153
364,29120,153
365,29191,153
366,29263,153
367,29335,153
368,29407,153
369,29479,153
370,29551,153
371,29623,153
372,29695,153
373,29767,153
374,29839,153
375,29911,153
376,29983,153
377,30055,153
378,30127,153
379,30199,153
380,30271,153
381,30343,153
382,30415,153
383,30487,153
384,30559,153
385,30631,153
386,30701,153
387,30773,153
388,30845,153
389,30917,153
390,30989,153
391,31061,153
392,31132,153
393,31204,153
394,31276,153
395,31348,153
396,31420,153
397,31492,153
398,31564,153
399,31636,153
400,31708,153
401,31779,153
402,31851,153
403,31923,153
404,31995,153
405,32067,153
406,32139,154
407,32211,154
408,32283,154
409,32355,154
410,32427,154
411,32499,155
412,32571,155
413,32643,155
414,32715,155
415,32787,155
416,32859,155
417,32931,155
418,33003,155
419,33075,155
420,33147,155
421,33219,155
422,33291,155
423,33363,155
424,33435,155
425,33507,155
426,33579,155
427,33651,155
428,33723,155
429,33795,156
430,33867,156
431,33939,156
432,34011,157
433,34083,157
434,34155,157
435,34227,157
436,34299,158
437,34371,158
438,34443,158
439,34515,158
440,34587,158
441,34659,158
442,34731,158
443,34803,158
444,34875,158
445,34947,158
446,35019,158
447,35091,158
448,35163,158
449,35234,158
450,35306,158
451,35378,158
452,35450,158
453,35522,158
454,35594,158
455,35666,158
456,35738,159
457,35810,159
458,35882,159
459,35954,159
460,36026,159
461,36098,159
462,36170,159
463,36242,159
464,36314,159
465,36386,159
466,36458,159
467,36530,159
468,36602,159
469,36674,159
470,36746,159
471,36818,159
472,36890,159
473,36962,159
474,37034,159
475,37106,159
476,37178,159
477,37250,159
478,37322,159
479,37394,159
480,37466,159
481,37538,159
482,37610,159
483,37682,159
484,37754,159
485,37826,159
486,37898,159
487,37970,159
488,38042,159
489,38114,159
490,38186,159
491,38257,159
492,38329,159
493,38401,159
494,38473,159
495,38545,159
496,38617,159
497,38687,159
498,38759,159
499,38831,159
500,38903,159
501,38975,159
502,39047,159
503,39119,159
504,39191,159
505,39263,159
506,39333,159
507,39405,159
508,39477,159
509,39549,159
510,39621,159
511,39693,159
512,39765,160
513,39837,160
514,39909,160
515,39980,160
516,40052,160
517,40123,160
518,40195,160
519,40267,160
520,40339,160
521,40411,160
522,40483,160
523,40555,160
524,40627,160
525,40699,160
526,40771,160
527,40843,160
528,40915,160
529,40987,160
530,41059,160
531,41131,160
532,41203,160
533,41275,161
534,41347,161
535,41419,161
536,41491,161
537,41563,161
538,41635,161
539,41707,161
540,41779,161
541,41851,161
542,41923,161
543,41995,161
544,42067,161
545,42139,161
546,42211,161
547,42283,161
548,42355,161
549,42427,161
550,42499,161
551,42571,161
552,42643,161
553,42715,161
554,42787,161
555,42859,161
556,42931,161
557,43002,161
558,43074,161
559,43146,161
560,43218,161
561,43290,161
562,43362,161
563,43434,161
564,43506,161
565,43578,161
566,43650,161
567,43722,161
568,43794,161
569,43866,162
570,43938,162
571,44010,162
572,44082,162
573,44154,162
574,44226,162
575,44298,162
576,44370,162
577,44442,162
578,44514,162
579,44586,162
580,44658,162
581,44730,162
582,44802,162
583,44874,162
584,44946,162
585,45018,162
586,45090,162
587,45162,162
588,45234,162
589,45306,162
590,45378,162
591,45450,162
592,45522,162
593,45594,162
594,45666,162
595,45738,162
596,45810,163
597,45881,163
598,45953,163
599,46025,163
600,46097,163
601,46169,163
602,46241,163
603,46313,163
604,46385,163
605,46457,163
606,46529,163
607,46601,163
608,46673,163
609,46745,163
610,46817,163
611,46889,163
612,46961,163
613,47033,163
614,47105,163
615,47177,163
616,47249,163
617,47321,163
618,47393,163
619,47465,163
620,47537,163
621,47609,163
622,47681,163
623,47753,163
624,47825,163
625,47897,163
626,47969,163
627,48041,163
628,48113,163
629,48185,163
630,48257,163
631,48329,163
632,48401,163
633,48473,163
634,48545,163
635,48617,163
636,48689,163
637,48761,163
638,48833,163
639,48905,163
640,48977,163
641,49049,163
642,49121,163
643,49193,163
644,49265,163
645,49337,163
646,49409,163
647,49481,163
648,49553,163
649,49625,163
650,49697,163
651,49769,163
652,49841,163
653,49913,163
654,49985,163
655,50057,164
656,50129,164
657,50201,164
658,50273,164
659,50345,164
660,50417,164
661,50489,165
662,50561,165
663,50633,165
664,50705,165
665,50777,165
666,50849,165
667,50921,165
668,50993,165
669,51065,165
670,51137,165
671,51209,165
672,51281,166
673,51353,166
674,51425,166
675,51497,166
676,51569,166
677,51641,166
678,51713,166
679,51785,166
680,51855,166
681,51927,166
682,51999,166
683,52071,166
684,52143,166
685,52215,166
686,52287,166
687,52359,166
688,52431,166
689,52503,166
690,52575,166
691,52647,166
692,52719,166
693,52791,166
694,52863,166
695,52935,166
696,53007,166
697,53079,166
698,53151,166
699,53223,166
700,53295,166
701,53366,166
702,53438,166
703,53510,166
704,53582,166
705,53654,166
706,53726,166
707,53798,166
708,53870,166
709,53941,166
710,54013,166
711,54085,166
712,54156,166
713,54228,166
714,54300,166
715,54372,166
716,54444,166
717,54516,166
718,54588,166
719,54660,166
720,54732,166
721,54804,166
722,54876,166
723,54948,166
724,55020,166
725,55092,166
726,55164,166
727,55236,166
728,55308,166
729,55380,166
730,55452,166
731,55524,166
732,55596,166
733,55668,166
734,55740,166
735,55812,166
736,55884,166
737,55956,166
738,56028,166
739,56100,166
740,56172,166
741,56244,166
742,56316,166
743,56388,166
744,56460,166
745,56532,166
746,56604,166
747,56676,166
748,56748,166
749,56820,166
750,56892,166
751,56964,166
752,57036,166
753,57108,166
754,57180,166
755,57252,166
756,57323,166
757,57395,166
758,57467,166
759,57539,166
760,57611,166
761,57683,166
762,57755,166
763,57827,166
764,57899,166
765,57971,166
766,58043,166
767,58115,167
768,58187,167
769,58259,167
770,58331,167
771,58403,167
772,58475,167
773,58547,167
774,58619,167
775,58691,167
776,58763,167
777,58833,167
778,58905,167
779,58977,167
780,59049,167
781,59121,167
782,59193,167
783,59265,167
784,59337,167
785,59409,167
786,59481,167
787,59553,167
788,59625,167
789,59697,167
790,59769,167
791,59841,167
792,59913,167
793,59985,167
794,60057,167
795,60129,167
796,60201,167
797,60273,167
798,60345,168
799,60417,168
800,60489,168
801,60561,168
802,60633,168
803,60705,168
804,60777,168
805,60849,168
806,60921,168
807,60993,168
808,61065,168
809,61136,168
810,61208,168
811,61280,168
812,61352,168
813,61424,168
814,61496,168
815,61568,168
816,61639,168
817,61711,168
818,61782,168
819,61854,168
820,61926,168
821,61998,168
822,62070,168
823,62141,168
824,62213,168
825,62285,169
826,62357,169
827,62429,169
828,62501,169
829,62573,169
830,62645,169
831,62717,169
832,62789,169
833,62861,169
834,62933,169
835,63005,169
836,63076,169
837,63148,169
838,63220,169
839,63292,169
840,63363,169
841,63435,169
842,63507,169
843,63579,169
844,63651,169
845,63723,170
846,63795,170
847,63867,170
848,63939,170
849,64011,170
850,64083,170
851,64155,170
852,64227,170
853,64299,170
854,64371,170
855,64443,170
856,64515,170
857,64587,170
858,64659,170
859,64731,170
860,64803,170
861,64875,170
862,64947,170
863,65019,170
864,65091,170
865,65163,170
866,65235,170
867,65307,170
868,65379,170
869,65451,170
870,65523,170
871,65595,170
872,65667,171
873,65738,171
874,65810,171
875,65882,171
876,65954,171
877,66025,171
878,66097,171
879,66169,171
880,66241,171
881,66313,171
882,66385,171
883,66457,171
884,66529,171
885,66601,171
886,66671,171
887,66743,171
888,66815,171
889,66887,171
890,66959,171
891,67031,171
892,67103,171
893,67175,171
894,67247,171
895,67319,171
896,67391,171
897,67463,171
898,67535,171
899,67607,171
900,67679,171
901,67751,171
902,67823,171
903,67895,171
904,67967,171
905,68039,171
906,68111,171
907,68183,171
908,68255,171
909,68327,171
910,68399,171
911,68470,171
912,68542,171
913,68614,171
914,68685,171
915,68757,171
916,68829,171
917,68901,171
918,68973,171
919,69045,171
920,69117,171
921,69189,171
922,69261,171
923,69333,171
924,69405,171
925,69477,171
926,69549,171
927,69621,171
928,69693,171
929,69765,171
930,69837,171
931,69909,171
932,69981,171
933,70053,171
934,70125,171
935,70197,171
936,70269,171
937,70341,171
938,70413,171
939,70485,171
940,70557,171
941,70629,171
942,70701,171
943,70773,171
944,70845,171
945,70917,171
946,70989,171
947,71061,171
948,71133,171
949,71205,171
950,71276,171
951,71348,171
952,71420,171
953,71492,171
954,71564,171
955,71636,171
956,71708,171
957,71780,171
958,71852,171
959,71924,171
960,71996,171
961,72068,171
962,72140,171
963,72212,171
964,72284,171
965,72356,171
966,72428,171
967,72500,171
968,72572,171
969,72644,171
970,72716,171
971,72788,171
972,72860,171
973,72932,171
974,73004,171
975,73076,171
976,73148,171
977,73220,171
978,73292,171
979,73364,171
980,73436,171
981,73508,171
982,73580,171
983,73652,171
984,73724,171
985,73796,171
986,73868,171
987,73940,171
988,74012,171
989,74084,171
990,74156,171
991,74228,171
992,74300,171
993,74371,171
994,74443,171
995,74515,171
996,74587,171
997,74659,171
998,74731,171
999,74803,171
1000,74875,171
1001,74947,171
1002,75019,171
1003,75091,171
1004,75163,171
1005,75235,171
1006,75307,171
1007,75379,171
1008,75450,171
1009,75522,171
1010,75594,171
1011,75666,171
1012,75738,171
1013,75810,171
1014,75882,171
1015,75954,171
1016,76026,171
1017,76098,171
1018,76170,171
1019,76242,171
1020,76314,171
1021,76386,171
1022,76458,171
1023,76530,171
1024,76602,171
1025,76674,171
1026,76746,172
1027,76818,172
1028,76890,172
1029,76962,172
1030,77034,172
1031,77106,172
1032,77178,172
1033,77250,172
1034,77322,172
1035,77394,172
1036,77466,172
1037,77538,172
1038,77610,172
1039,77682,172
1040,77754,172
1041,77826,172
1042,77898,172
1043,77970,172
1044,78042,172
1045,78114,172
1046,78186,172
1047,78258,172
1048,78330,172
1049,78402,172
1050,78474,172
1051,78545,172
1052,78617,172
1053,78689,172
1054,78761,172
1055,78833,172
1056,78905,172
1057,78977,172
1058,79049,173
1059,79121,173
1060,79193,173
1061,79265,173
1062,79337,173
1063,79409,173
1064,79479,173
1065,79550,173
1066,79622,173
1067,79694,173
1068,79766,173
1069,79838,173
1070,79910,173
1071,79982,173
1072,80054,173
1073,80126,173
1074,80198,173
1075,80270,173
1076,80342,173
1077,80414,173
1078,80486,173
1079,80558,173
1080,80630,173
1081,80702,173
1082,80774,173
1083,80846,173
1084,80918,173
1085,80990,173
1086,81062,173
1087,81134,173
1088,81206,173
1089,81278,173
1090,81350,173
1091,81422,173
1092,81494,173
1093,81566,173
1094,81638,173
1095,81710,173
1096,81782,173
1097,81854,173
1098,81926,173
1099,82049,173
1100,82117,174
1101,82185,175
1102,82253,175
1103,82321,176
1104,82389,176
1105,82457,176
1106,82525,176
1107,82593,176
1108,82661,177
1109,82729,177
1110,82797,177
1111,82865,177
1112,82933,177
1113,83001,178
1114,83069,178
1115,83137,178
1116,83205,178
1117,83273,178
1118,83341,178
1119,83409,178
1120,83477,178
1121,83545,178
1122,83613,178
1123,83681,178
1124,83749,179
1125,83817,179
1126,83885,179
1127,83953,179
1128,84021,179
1129,84089,179
1130,84157,179
1131,84225,179
1132,84293,179
1133,84361,179
1134,84429,179
1135,84497,179
1136,84565,179
1137,84633,179
1138,84701,179
1139,84769,179
1140,84837,179
1141,84905,179
1142,84973,179
1143,85041,179
1144,85109,179
1145,85177,179
1146,85245,179
1147,85313,179
1148,85381,179
1149,85449,179
1150,85517,179
1151,85585,179
1152,85653,179
1153,85720,179
1154,85788,179
1155,85855,179
1156,85923,179
1157,85991,179
1158,86059,179
1159,86127,179
1160,86195,179
1161,86263,179
1162,86331,179
1163,86399,179
1164,86467,179
1165,86535,179
1166,86603,179
1167,86671,179
1168,86737,179
1169,86805,179
1170,86873,179
1171,86941,179
1172,87009,179
1173,87077,179
1174,87145,179
1175,87213,179
1176,87281,180
1177,87348,180
1178,87416,181
1179,87484,181
1180,87552,181
1181,87620,181
1182,87688,181
1183,87756,181
1184,87824,181
1185,87892,181
1186,87960,181
1187,88028,181
1188,88096,181
1189,88164,181
1190,88232,181
1191,88300,181
1192,88368,181
1193,88436,181
1194,88504,181
1195,88572,181
1196,88640,181
1197,88708,181
1198,88776,181
1199,88844,181
1200,88912,181
1201,88980,182
1202,89048,182
1203,89116,182
1204,89184,182
1205,89252,182
1206,89320,182
1207,89388,182
1208,89456,182
1209,89523,182
1210,89591,182
1211,89658,182
1212,89726,182
1213,89794,182
1214,89862,182
1215,89930,182
1216,89998,182
1217,90066,182
1218,90134,182
1219,90202,182
1220,90270,182
1221,90338,182
1222,90406,182
1223,90474,182
1224,90542,182
1225,90610,182
1226,90676,182
1227,90744,182
1228,90812,182
1229,90880,182
1230,90948,182
1231,91016,182
1232,91084,182
1233,91151,182
1234,91219,182
1235,91287,182
1236,91355,182
1237,91423,182
1238,91491,182
1239,91559,182
1240,91627,182
1241,91695,182
1242,91763,183
1243,91831,183
1244,91899,183
1245,91967,183
1246,92035,183
1247,92103,183
1248,92171,183
1249,92238,183
1250,92306,183
1251,92374,183
1252,92442,183
1253,92510,183
1254,92578,183
1255,92646,183
1256,92714,183
1257,92782,183
1258,92850,183
1259,92918,183
1260,92986,183
1261,93054,183
1262,93122,183
1263,93190,183
1264,93258,183
1265,93326,183
1266,93394,183
1267,93462,183
1268,93530,183
1269,93598,183
1270,93666,183
1271,93734,183
1272,93802,183
1273,93870,183
1274,93938,183
1275,94006,183
1276,94074,183
1277,94142,183
1278,94208,183
1279,94276,183
1280,94344,183
1281,94412,183
1282,94480,183
1283,94548,183
1284,94616,183
1285,94684,183
1286,94752,183
1287,94820,183
1288,94888,183
1289,94956,183
1290,95024,183
1291,95092,183
1292,95160,183
1293,95228,183
1294,95296,183
1295,95364,183
1296,95432,183
1297,95500,183
1298,95568,183
1299,95636,183
1300,95704,183
1301,95772,183
1302,95840,183
1303,95908,183
1304,95976,183
1305,96044,183
1306,96112,183
1307,96180,183
1308,96247,183
1309,96315,183
1310,96383,183
1311,96451,183
1312,96519,183
1313,96587,183
1314,96655,183
1315,96723,183
1316,96791,183
1317,96859,183
1318,96927,183
1319,96995,183
1320,97063,183
1321,97131,183
1322,97199,183
1323,97267,183
1324,97335,183
1325,97403,183
1326,97471,183
1327,97539,183
1328,97607,183
1329,97675,183
1330,97743,183
1331,97811,183
1332,97879,183
1333,97947,183
1334,98015,183
1335,98083,183
1336,98151,183
1337,98219,183
1338,98287,183
1339,98355,183
1340,98423,183
1341,98491,183
1342,98559,183
1343,98627,183
1344,98695,183
1345,98763,183
1346,98831,183
1347,98899,183
1348,98967,183
1349,99035,183
1350,99103,183
1351,99171,183
1352,99239,183
1353,99307,183
1354,99375,183
1355,99443,183
1356,99511,183
1357,99579,183
1358,99647,183
1359,99715,183
1360,99783,183
1361,99851,183
1362,99919,183
1363,99987,183
1364,100055,183
