,nfe,improvements
0,100,12
1,200,15
2,300,17
3,400,19
4,497,21
5,595,26
6,694,30
7,793,35
8,893,38
9,993,39
10,1093,42
11,1193,43
12,1293,45
13,1393,47
14,1491,47
15,1590,48
16,1690,49
17,1790,49
18,1890,50
19,1989,51
20,2088,52
21,2188,53
22,2288,55
23,2388,55
24,2488,56
25,2588,56
26,2688,59
27,2788,59
28,2888,59
29,2986,60
30,3086,60
31,3186,60
32,3286,60
33,3386,60
34,3486,60
35,3586,60
36,3686,60
37,3786,61
38,3886,62
39,3986,63
40,4086,64
41,4186,64
42,4286,64
43,4386,64
44,4486,64
45,4586,64
46,4686,64
47,4786,66
48,4886,67
49,4986,71
50,5086,71
51,5185,72
52,5283,73
53,5383,76
54,5482,79
55,5581,80
56,5681,85
57,5780,91
58,5880,96
59,5980,96
60,6079,99
61,6179,99
62,6279,100
63,6378,101
64,6478,101
65,6578,102
66,6678,102
67,6778,104
68,6876,107
69,6974,108
70,7072,109
71,7172,112
72,7272,113
73,7372,114
74,7472,115
75,7572,116
76,7671,117
77,7770,117
78,7870,117
79,7969,117
80,8069,118
81,8169,120
82,8269,121
83,8369,121
84,8469,121
85,8569,122
86,8669,122
87,8769,123
88,8867,124
89,8966,124
90,9066,125
91,9165,125
92,9265,125
93,9365,127
94,9465,127
95,9564,128
96,9664,128
97,9762,129
98,9862,131
99,10007,131
100,10067,132
101,10127,132
102,10187,132
103,10247,132
104,10306,132
105,10366,132
106,10426,132
107,10485,132
108,10544,133
109,10604,133
110,10664,134
111,10724,134
112,10784,134
113,10844,135
114,10904,135
115,10963,135
116,11023,136
117,11083,136
118,11143,136
119,11203,136
120,11263,136
121,11323,136
122,11379,137
123,11439,137
124,11497,137
125,11557,138
126,11617,138
127,11676,138
128,11735,139
129,11794,139
130,11854,139
131,11914,140
132,11974,140
133,12031,140
134,12091,140
135,12148,140
136,12208,140
137,12268,140
138,12328,141
139,12388,141
140,12448,141
141,12508,141
142,12568,141
143,12628,141
144,12688,141
145,12748,141
146,12808,141
147,12868,141
148,12928,141
149,12987,141
150,13047,141
151,13106,141
152,13165,141
153,13225,141
154,13285,142
155,13342,142
156,13400,143
157,13459,143
158,13519,143
159,13578,143
160,13637,143
161,13697,143
162,13757,143
163,13817,144
164,13875,144
165,13935,144
166,13995,144
167,14054,144
168,14112,145
169,14172,145
170,14231,145
171,14290,145
172,14350,145
173,14410,145
174,14468,145
175,14527,145
176,14587,145
177,14647,145
178,14707,146
179,14767,146
180,14827,146
181,14886,146
182,14946,146
183,15006,146
184,15066,146
185,15125,146
186,15185,146
187,15244,146
188,15303,146
189,15363,146
190,15423,146
191,15483,146
192,15543,146
193,15601,146
194,15661,146
195,15720,146
196,15780,147
197,15838,147
198,15898,147
199,15957,147
200,16017,147
201,16077,147
202,16137,148
203,16197,148
204,16257,148
205,16317,148
206,16377,148
207,16434,148
208,16494,148
209,16552,149
210,16612,149
211,16672,149
212,16732,149
213,16792,149
214,16851,149
215,16911,149
216,16971,149
217,17031,149
218,17091,149
219,17151,149
220,17211,149
221,17270,149
222,17328,150
223,17388,150
224,17448,150
225,17508,150
226,17568,150
227,17628,150
228,17688,150
229,17748,150
230,17808,150
231,17868,150
232,17928,150
233,17988,151
234,18048,151
235,18108,151
236,18168,151
237,18227,151
238,18287,151
239,18347,152
240,18407,152
241,18467,152
242,18527,152
243,18585,152
244,18645,152
245,18705,152
246,18764,152
247,18824,152
248,18884,152
249,18944,152
250,19004,152
251,19064,152
252,19124,152
253,19184,152
254,19244,152
255,19304,152
256,19362,152
257,19422,152
258,19482,152
259,19542,152
260,19602,152
261,19662,152
262,19722,152
263,19782,152
264,19842,152
265,19902,152
266,19962,152
267,20021,152
268,20081,152
269,20141,152
270,20201,152
271,20261,152
272,20321,152
273,20381,153
274,20441,153
275,20499,153
276,20559,153
277,20619,153
278,20679,153
279,20739,153
280,20798,153
281,20858,153
282,20917,153
283,20977,153
284,21035,153
285,21095,153
286,21155,153
287,21215,153
288,21275,153
289,21335,153
290,21395,153
291,21455,153
292,21514,154
293,21573,154
294,21633,154
295,21693,154
296,21753,154
297,21813,154
298,21872,154
299,21932,154
300,21992,154
301,22051,154
302,22111,155
303,22170,155
304,22230,155
305,22290,155
306,22350,156
307,22410,156
308,22464,156
309,22523,156
310,22582,156
311,22642,156
312,22702,156
313,22762,156
314,22822,156
315,22882,156
316,22941,157
317,23001,157
318,23061,158
319,23121,158
320,23180,158
321,23240,158
322,23300,158
323,23360,158
324,23420,158
325,23480,158
326,23540,158
327,23600,158
328,23660,158
329,23720,159
330,23780,159
331,23840,159
332,23900,159
333,23960,159
334,24020,160
335,24080,160
336,24140,160
337,24198,160
338,24257,160
339,24317,160
340,24377,160
341,24435,160
342,24493,160
343,24553,160
344,24613,160
345,24673,160
346,24733,160
347,24793,161
348,24853,161
349,24913,161
350,24973,161
351,25033,161
352,25092,161
353,25151,161
354,25211,161
355,25271,161
356,25331,161
357,25391,161
358,25448,161
359,25508,161
360,25568,161
361,25628,161
362,25688,161
363,25748,161
364,25808,161
365,25868,161
366,25928,161
367,25988,161
368,26047,161
369,26107,161
370,26167,161
371,26227,161
372,26287,161
373,26347,161
374,26407,161
375,26466,161
376,26526,161
377,26586,161
378,26646,161
379,26706,161
380,26766,161
381,26826,161
382,26886,161
383,26946,162
384,27006,162
385,27066,162
386,27126,162
387,27186,162
388,27246,162
389,27306,162
390,27366,162
391,27426,162
392,27486,162
393,27544,162
394,27604,162
395,27664,162
396,27724,162
397,27783,162
398,27843,162
399,27903,162
400,27963,162
401,28022,162
402,28082,162
403,28142,162
404,28202,162
405,28261,162
406,28320,162
407,28380,162
408,28440,162
