,nfe,improvements
0,100,18
1,198,19
2,298,23
3,398,27
4,498,29
5,598,31
6,698,33
7,797,34
8,896,41
9,996,44
10,1096,46
11,1195,49
12,1295,51
13,1395,53
14,1495,55
15,1594,59
16,1694,64
17,1794,68
18,1894,71
19,1992,78
20,2091,82
21,2191,86
22,2290,95
23,2390,103
24,2489,107
25,2589,110
26,2689,112
27,2789,117
28,2889,121
29,2989,121
30,3088,122
31,3187,123
32,3287,125
33,3385,125
34,3485,125
35,3584,126
36,3684,127
37,3784,128
38,3884,128
39,3983,129
40,4083,130
41,4182,130
42,4281,131
43,4381,132
44,4481,132
45,4581,135
46,4679,136
47,4779,136
48,4878,136
49,4978,136
50,5078,136
51,5178,136
52,5278,136
53,5378,136
54,5478,136
55,5577,137
56,5677,137
57,5777,138
58,5877,138
59,5973,138
60,6072,139
61,6172,139
62,6272,139
63,6372,139
64,6472,142
65,6571,142
66,6671,142
67,6770,142
68,6870,143
69,6970,143
70,7067,143
71,7167,143
72,7264,143
73,7364,144
74,7464,144
75,7564,145
76,7664,145
77,7762,145
78,7862,146
79,7960,147
80,8059,147
81,8159,148
82,8259,148
83,8358,148
84,8458,148
85,8556,149
86,8655,151
87,8755,151
88,8855,151
89,8955,151
90,9055,152
91,9155,153
92,9255,153
93,9355,153
94,9454,153
95,9554,153
96,9654,153
97,9754,154
98,9854,155
99,10004,155
100,10072,156
101,10140,159
102,10206,159
103,10274,159
104,10342,159
105,10409,159
106,10477,159
107,10545,159
108,10613,159
109,10681,159
110,10749,159
111,10817,159
112,10885,160
113,10953,160
114,11017,160
115,11085,160
116,11153,160
117,11221,160
118,11289,160
119,11356,161
120,11422,161
121,11489,161
122,11557,161
123,11624,161
124,11692,162
125,11760,162
126,11828,162
127,11895,162
128,11963,162
129,12031,162
130,12099,162
131,12167,162
132,12235,162
133,12301,162
134,12369,162
135,12437,162
136,12505,162
137,12572,162
138,12640,162
139,12708,163
140,12776,163
141,12844,163
142,12911,163
143,12977,163
144,13044,163
145,13112,163
146,13180,163
147,13248,163
148,13313,163
149,13381,163
150,13448,163
151,13516,163
152,13582,163
153,13650,163
154,13718,163
155,13786,163
156,13854,163
157,13922,163
158,13987,163
159,14055,163
160,14123,163
161,14191,163
162,14259,163
163,14327,163
164,14395,163
165,14461,163
166,14527,163
167,14595,164
168,14663,164
169,14730,165
170,14796,166
171,14864,166
172,14932,166
173,15000,166
174,15067,166
175,15135,166
176,15201,166
177,15269,166
178,15337,167
179,15404,167
180,15472,167
181,15539,167
182,15607,167
183,15675,167
184,15743,167
185,15811,167
186,15878,167
187,15945,167
188,16013,167
189,16078,167
190,16146,167
191,16214,168
192,16282,168
193,16349,168
194,16417,168
195,16485,168
196,16553,168
197,16621,168
198,16688,168
199,16756,169
200,16824,169
201,16892,169
202,16960,169
203,17028,169
204,17095,169
205,17163,169
206,17230,169
207,17298,169
208,17365,170
209,17432,170
210,17500,170
211,17568,170
212,17635,170
213,17703,170
214,17770,170
215,17838,170
216,17906,170
217,17972,170
218,18040,170
219,18108,170
220,18176,170
221,18242,170
222,18309,170
223,18377,170
224,18445,170
225,18511,170
226,18579,170
227,18647,170
228,18714,170
229,18782,170
230,18850,170
231,18918,170
232,18985,170
233,19053,170
234,19121,170
235,19188,170
236,19256,170
237,19324,170
238,19392,170
239,19459,170
240,19527,170
241,19595,170
242,19663,170
243,19731,170
244,19799,170
245,19867,170
246,19935,170
247,20003,170
248,20071,170
249,20137,170
250,20204,170
251,20272,170
252,20340,170
253,20405,170
254,20471,170
255,20539,170
256,20607,170
257,20675,170
258,20742,170
259,20809,170
260,20877,170
261,20943,170
262,21011,171
263,21079,171
264,21146,171
265,21214,171
266,21282,171
267,21350,171
268,21418,171
269,21486,171
270,21552,171
271,21620,171
272,21688,171
273,21755,171
274,21823,171
275,21891,171
276,21958,171
277,22025,171
278,22093,172
279,22161,172
280,22229,172
281,22295,172
282,22363,173
283,22431,173
284,22497,173
285,22565,173
286,22632,173
287,22700,173
288,22768,173
289,22835,173
290,22903,173
291,22971,173
292,23037,173
293,23105,173
294,23172,173
295,23240,173
296,23308,173
297,23376,173
298,23444,173
299,23512,173
300,23579,173
301,23647,173
302,23714,173
303,23782,173
304,23850,173
305,23917,173
306,23985,173
307,24053,173
308,24121,173
309,24189,174
310,24256,174
311,24324,174
312,24392,174
313,24460,174
314,24528,174
315,24596,174
316,24664,174
317,24732,174
318,24800,174
319,24868,174
320,24936,174
321,25004,174
322,25072,174
323,25140,174
324,25208,174
325,25276,174
326,25343,174
327,25411,174
328,25479,174
329,25547,174
330,25613,174
331,25679,174
332,25747,174
333,25814,174
334,25880,174
335,25948,174
336,26016,174
337,26082,174
338,26150,174
339,26216,174
340,26284,174
341,26352,174
342,26419,174
343,26487,174
344,26555,174
345,26623,174
346,26691,174
347,26759,174
348,26823,174
349,26891,174
350,26959,174
351,27027,174
352,27095,174
353,27163,174
354,27231,174
355,27299,174
356,27367,174
357,27435,174
358,27502,174
359,27567,174
360,27634,174
361,27702,174
362,27770,174
363,27838,174
364,27906,174
365,27974,174
366,28042,174
367,28109,174
368,28177,174
369,28245,174
370,28311,174
371,28379,174
372,28447,174
373,28515,174
374,28583,174
375,28651,174
376,28717,174
377,28785,174
378,28853,174
379,28921,174
380,28989,174
381,29057,174
382,29125,174
383,29192,175
384,29260,176
385,29328,177
386,29396,178
387,29463,178
388,29531,179
389,29599,179
390,29667,179
391,29733,179
392,29801,179
393,29869,179
394,29937,179
395,30005,179
396,30072,179
397,30139,179
398,30206,179
399,30274,179
400,30342,179
401,30410,179
402,30478,179
403,30546,179
404,30613,179
405,30681,179
406,30749,179
407,30817,179
408,30885,179
409,30953,179
410,31021,180
411,31089,181
412,31156,181
413,31224,181
414,31292,181
415,31360,181
416,31428,181
417,31496,181
418,31564,181
419,31632,181
420,31700,181
421,31768,181
422,31836,181
423,31904,181
424,31972,181
425,32040,181
426,32107,181
427,32175,181
428,32243,181
429,32311,181
430,32379,181
431,32445,181
432,32513,181
433,32581,181
434,32648,182
435,32716,182
436,32784,182
437,32852,183
438,32920,183
439,32988,183
440,33056,183
441,33122,183
442,33190,183
443,33258,183
444,33325,183
445,33393,183
446,33460,183
447,33528,183
448,33595,183
449,33663,183
450,33731,183
451,33799,183
452,33865,183
453,33933,183
454,34001,183
455,34069,183
456,34137,183
457,34205,183
458,34273,183
459,34341,183
460,34407,183
461,34475,183
462,34543,183
463,34610,184
464,34678,184
465,34746,184
466,34814,184
467,34880,184
468,34948,184
469,35014,184
470,35081,184
471,35149,184
472,35217,184
473,35285,184
474,35352,184
475,35420,184
476,35488,184
477,35556,184
478,35622,184
479,35689,184
480,35757,184
481,35825,184
482,35893,184
483,35961,184
484,36029,184
485,36097,184
486,36165,184
487,36233,184
488,36301,184
489,36367,184
490,36433,184
491,36501,184
492,36569,184
493,36635,184
494,36703,184
495,36770,184
496,36838,184
497,36906,184
498,36974,184
499,37042,184
500,37110,184
501,37176,184
502,37242,184
503,37310,185
504,37378,185
505,37446,185
506,37514,185
507,37581,185
508,37649,185
509,37717,185
510,37785,185
511,37853,185
512,37921,185
513,37989,185
514,38057,185
515,38124,185
516,38192,185
517,38260,185
518,38327,185
519,38395,185
520,38462,185
521,38530,185
522,38598,185
523,38666,185
524,38734,185
525,38801,185
526,38869,185
527,38937,185
528,39005,185
529,39073,185
530,39141,185
531,39209,185
532,39277,185
533,39345,185
534,39413,185
535,39481,185
536,39549,185
537,39617,185
538,39685,185
539,39753,185
540,39820,185
541,39888,185
542,39956,185
543,40024,185
544,40092,185
545,40160,185
546,40228,185
547,40294,185
548,40362,185
549,40430,185
550,40497,185
551,40565,185
552,40633,185
553,40701,185
554,40769,185
555,40837,185
556,40905,185
557,40972,185
558,41039,185
559,41104,185
560,41172,185
561,41240,185
562,41308,185
563,41376,185
564,41444,185
565,41512,185
566,41580,185
567,41646,185
568,41714,185
569,41782,185
570,41850,185
571,41917,185
572,41985,185
573,42053,185
574,42121,185
575,42188,185
576,42255,185
577,42323,185
578,42391,185
579,42458,185
580,42525,185
581,42593,185
582,42661,185
583,42728,185
584,42796,186
585,42864,186
586,42932,186
587,43000,186
588,43068,186
589,43135,186
590,43203,186
591,43271,186
592,43339,186
593,43405,186
594,43473,186
595,43541,186
596,43609,186
597,43677,186
598,43744,186
599,43812,186
600,43880,186
601,43948,186
602,44015,186
603,44081,186
604,44149,186
605,44217,186
606,44285,186
607,44353,186
608,44421,187
609,44489,187
610,44557,187
611,44625,187
612,44692,187
613,44759,187
614,44827,187
615,44893,187
616,44961,187
617,45029,187
618,45097,187
619,45165,187
620,45233,187
621,45301,187
622,45368,187
623,45436,187
624,45504,187
625,45572,187
626,45640,187
627,45708,187
628,45774,187
629,45842,187
630,45910,187
631,45978,187
632,46046,187
633,46114,187
634,46182,187
635,46250,187
636,46318,187
637,46386,187
638,46454,187
639,46522,187
640,46590,187
641,46658,187
642,46726,188
643,46794,188
644,46861,188
645,46929,188
646,46996,188
647,47064,188
648,47132,188
649,47200,189
650,47268,189
651,47336,189
652,47404,189
653,47470,189
654,47538,189
655,47606,189
656,47674,189
657,47742,189
658,47810,189
659,47878,189
660,47945,189
661,48013,189
662,48080,189
663,48147,189
664,48215,189
665,48283,189
666,48351,189
667,48419,189
668,48487,189
669,48555,189
670,48621,189
671,48688,189
672,48755,189
673,48821,189
674,48889,189
675,48955,189
676,49023,189
677,49090,189
678,49157,189
679,49223,189
680,49290,189
681,49358,189
682,49425,189
683,49492,189
684,49560,189
685,49628,189
686,49696,189
687,49764,189
688,49831,189
689,49898,189
690,49966,189
691,50034,189
692,50102,189
693,50170,189
694,50238,189
695,50306,189
696,50373,189
697,50440,189
698,50508,189
699,50575,189
700,50643,189
701,50711,189
702,50777,189
703,50845,189
704,50913,189
705,50981,189
706,51048,189
707,51116,189
708,51184,189
709,51252,189
710,51320,189
711,51388,189
712,51456,189
713,51524,189
714,51592,189
715,51660,189
716,51728,189
717,51792,189
718,51860,189
719,51928,189
720,51994,189
721,52062,190
722,52129,190
723,52197,190
724,52265,190
725,52333,190
726,52401,190
727,52468,190
728,52536,190
729,52604,190
730,52672,190
731,52740,190
732,52808,190
733,52876,190
734,52944,191
735,53012,191
736,53080,191
737,53148,191
738,53215,191
739,53282,191
740,53348,191
741,53416,191
742,53484,191
743,53551,191
744,53618,191
745,53686,191
746,53754,191
747,53822,191
748,53889,191
749,53955,191
750,54023,191
751,54091,192
752,54159,192
753,54226,192
754,54294,192
755,54362,192
756,54430,192
757,54498,192
758,54566,192
759,54634,194
760,54702,194
761,54769,194
762,54837,194
763,54903,194
764,54971,194
765,55039,194
766,55107,195
767,55174,196
768,55242,196
769,55310,197
770,55378,197
771,55446,197
772,55514,197
773,55582,197
774,55648,197
775,55715,198
776,55783,198
777,55851,198
778,55919,198
779,55987,198
780,56055,198
781,56123,198
782,56191,198
783,56259,198
784,56327,198
785,56395,198
786,56460,198
