,nfe,improvements
0,100,15
1,200,21
2,300,26
3,400,30
4,500,38
5,599,41
6,699,44
7,799,45
8,899,47
9,999,50
10,1095,54
11,1194,57
12,1293,58
13,1392,60
14,1490,68
15,1590,69
16,1689,72
17,1789,75
18,1889,76
19,1988,77
20,2087,80
21,2186,80
22,2285,81
23,2385,84
24,2485,85
25,2585,86
26,2685,87
27,2785,89
28,2885,89
29,2984,93
30,3084,93
31,3183,97
32,3283,99
33,3382,100
34,3482,100
35,3580,101
36,3678,101
37,3778,102
38,3878,104
39,3976,104
40,4076,105
41,4174,105
42,4272,106
43,4372,106
44,4469,107
45,4569,107
46,4669,107
47,4769,107
48,4869,107
49,4968,107
50,5068,107
51,5168,107
52,5268,108
53,5368,108
54,5467,108
55,5567,109
56,5667,110
57,5767,110
58,5867,110
59,5967,110
60,6066,110
61,6166,110
62,6266,110
63,6366,110
64,6465,113
65,6565,113
66,6665,114
67,6765,114
68,6865,114
69,6965,115
70,7065,115
71,7165,115
72,7263,116
73,7363,116
74,7463,116
75,7562,116
76,7660,117
77,7759,117
78,7859,117
79,7959,118
80,8058,118
81,8158,118
82,8257,118
83,8357,118
84,8457,118
85,8556,118
86,8654,118
87,8753,119
88,8853,119
89,8953,119
90,9053,120
91,9153,120
92,9253,120
93,9352,120
94,9452,121
95,9551,121
96,9651,121
97,9750,121
98,9849,121
99,9992,121
100,10049,123
101,10109,123
102,10167,123
103,10227,123
104,10287,123
105,10345,124
106,10405,124
107,10464,125
108,10524,125
109,10584,125
110,10644,126
111,10704,126
112,10764,126
113,10823,126
114,10883,126
115,10943,127
116,11003,127
117,11060,127
118,11119,127
119,11177,127
120,11237,127
121,11297,127
122,11357,127
123,11417,127
124,11477,127
125,11537,127
126,11596,127
127,11656,127
128,11716,127
129,11776,127
130,11836,127
131,11896,127
132,11956,127
133,12016,127
134,12076,127
135,12135,127
136,12195,127
137,12255,128
138,12314,128
139,12374,128
140,12434,129
141,12493,129
142,12551,129
143,12611,129
144,12670,129
145,12730,130
146,12790,130
147,12850,130
148,12910,130
149,12970,130
150,13029,130
151,13088,130
152,13148,130
153,13206,130
154,13266,130
155,13325,130
156,13385,130
157,13444,130
158,13502,130
159,13562,131
160,13622,131
161,13682,131
162,13741,131
163,13801,132
164,13861,132
165,13921,133
166,13980,133
167,14040,133
168,14100,133
169,14160,133
170,14220,133
171,14280,133
172,14340,133
173,14400,133
174,14460,133
175,14520,133
176,14580,133
177,14639,133
178,14697,133
179,14757,133
180,14817,133
181,14877,133
182,14936,133
183,14996,133
184,15056,133
185,15115,133
186,15175,133
187,15235,133
188,15294,133
189,15353,133
190,15413,133
191,15473,133
192,15533,133
193,15593,133
194,15653,133
195,15713,133
196,15773,133
197,15833,133
198,15893,133
199,15953,133
200,16013,133
201,16073,133
202,16133,133
203,16193,133
204,16253,133
205,16311,133
206,16370,133
207,16430,133
208,16490,133
209,16549,133
210,16609,133
211,16669,133
212,16728,133
213,16788,133
214,16848,133
215,16908,133
216,16967,133
217,17027,133
218,17086,133
219,17146,133
220,17206,133
221,17266,133
222,17326,133
223,17385,133
224,17444,133
225,17503,133
226,17563,133
227,17622,133
228,17681,133
229,17740,133
230,17798,133
231,17858,133
232,17918,133
233,17978,133
234,18036,133
235,18096,133
236,18156,133
237,18216,133
238,18276,133
239,18336,133
240,18395,133
241,18455,133
242,18515,133
243,18574,133
244,18634,133
245,18694,133
246,18754,133
247,18814,133
248,18874,133
249,18934,133
250,18994,133
251,19054,134
252,19114,134
253,19174,134
254,19233,134
255,19293,134
256,19353,134
257,19411,134
258,19471,134
259,19531,134
260,19591,134
261,19650,134
262,19710,134
263,19770,134
264,19829,134
265,19889,134
266,19949,134
267,20009,134
268,20069,134
269,20128,134
270,20188,134
271,20247,134
272,20305,134
273,20364,134
274,20424,134
275,20478,134
276,20538,134
277,20598,134
278,20658,134
279,20718,134
280,20778,134
281,20838,134
282,20897,134
283,20955,134
284,21015,134
285,21075,134
286,21135,134
287,21195,134
288,21255,134
289,21315,134
290,21374,134
291,21434,134
292,21493,134
293,21553,134
294,21613,134
295,21672,134
296,21732,134
297,21792,134
298,21851,134
299,21910,134
300,21968,134
301,22026,134
302,22086,134
303,22146,134
304,22206,135
305,22265,135
306,22324,135
307,22384,135
308,22444,135
309,22504,135
310,22564,135
311,22624,135
312,22684,135
313,22744,135
314,22804,135
315,22864,135
316,22924,135
317,22984,135
318,23044,135
319,23104,135
320,23164,135
321,23223,135
322,23282,135
323,23342,135
324,23402,135
325,23461,135
326,23521,135
327,23581,135
328,23639,135
329,23698,135
330,23756,135
331,23816,135
332,23876,135
333,23936,135
334,23996,135
335,24056,135
336,24115,135
337,24175,135
338,24235,135
339,24294,135
340,24354,135
341,24414,135
342,24474,135
343,24534,135
344,24594,135
345,24652,136
346,24712,136
347,24772,136
348,24832,136
349,24891,136
350,24951,136
351,25011,136
352,25069,136
353,25129,136
354,25189,136
355,25248,136
356,25308,136
357,25366,136
358,25426,136
359,25486,136
360,25546,136
361,25605,136
362,25665,136
363,25725,136
364,25784,136
365,25843,136
366,25903,136
367,25963,136
368,26023,136
369,26083,136
370,26143,136
371,26203,136
372,26263,137
373,26323,137
374,26383,137
375,26443,137
376,26503,137
377,26563,137
378,26623,137
379,26683,137
380,26743,137
381,26802,137
382,26862,137
383,26921,137
384,26981,137
385,27041,137
386,27099,137
387,27159,137
388,27219,137
389,27279,137
390,27339,137
391,27397,137
392,27456,137
393,27516,137
394,27576,137
395,27636,137
396,27696,138
397,27756,139
398,27816,139
399,27876,139
400,27936,139
401,27996,140
402,28056,140
403,28113,140
404,28172,140
405,28232,140
406,28292,140
407,28352,140
408,28412,140
409,28472,140
410,28532,140
411,28592,140
412,28652,140
413,28712,140
414,28772,140
415,28832,140
416,28892,140
417,28952,140
418,29012,140
419,29072,141
420,29132,141
421,29192,141
422,29252,141
423,29312,141
424,29372,141
425,29432,141
426,29492,141
427,29551,141
428,29611,141
429,29671,141
430,29731,141
431,29791,141
432,29851,141
433,29910,141
434,29969,141
435,30028,141
436,30088,142
437,30148,143
438,30206,143
439,30264,143
440,30322,143
441,30382,143
442,30442,143
443,30502,143
444,30562,143
445,30622,143
446,30681,143
447,30741,143
448,30801,143
449,30861,143
450,30921,143
451,30981,143
452,31041,143
453,31101,143
454,31161,143
455,31220,143
456,31280,143
457,31340,143
458,31398,143
459,31457,143
460,31517,143
461,31577,143
462,31637,143
463,31697,143
464,31756,143
465,31815,143
466,31875,143
467,31934,143
468,31994,143
469,32054,143
470,32114,143
471,32174,143
472,32234,143
473,32294,143
474,32354,143
475,32414,143
476,32473,143
477,32533,143
478,32593,143
479,32653,143
480,32713,143
481,32773,144
482,32833,144
483,32893,144
484,32953,144
485,33013,144
486,33073,144
487,33133,144
488,33192,144
489,33251,144
490,33310,144
491,33370,144
