,nfe,improvements
0,100,23
1,200,30
2,300,37
3,398,39
4,498,42
5,598,43
6,698,47
7,798,47
8,898,51
9,998,53
10,1098,54
11,1198,54
12,1298,56
13,1398,56
14,1498,59
15,1598,60
16,1698,60
17,1798,60
18,1898,60
19,1998,61
20,2098,65
21,2197,65
22,2297,67
23,2397,67
24,2497,69
25,2597,70
26,2697,71
27,2797,72
28,2897,72
29,2997,73
30,3097,74
31,3197,74
32,3297,74
33,3397,74
34,3497,75
35,3597,75
36,3697,76
37,3797,76
38,3897,77
39,3997,77
40,4097,77
41,4197,77
42,4297,77
43,4397,79
44,4497,79
45,4597,79
46,4697,80
47,4797,80
48,4897,80
49,4997,80
50,5096,80
51,5196,80
52,5296,81
53,5396,81
54,5496,81
55,5596,82
56,5696,82
57,5796,82
58,5894,82
59,5994,82
60,6094,82
61,6194,82
62,6294,82
63,6394,82
64,6494,82
65,6594,83
66,6694,84
67,6794,85
68,6894,85
69,6994,85
70,7094,85
71,7194,85
72,7294,85
73,7392,86
74,7492,87
75,7592,88
76,7692,88
77,7792,89
78,7892,89
79,7991,89
80,8091,90
81,8191,91
82,8291,91
83,8391,91
84,8491,92
85,8591,92
86,8691,93
87,8791,93
88,8891,93
89,8989,93
90,9089,93
91,9189,93
92,9289,93
93,9389,93
94,9489,93
95,9589,93
96,9689,93
97,9789,93
98,9889,93
99,10043,94
100,10115,94
101,10187,97
102,10259,97
103,10331,98
104,10403,99
105,10475,99
106,10547,99
107,10619,101
108,10691,101
109,10763,102
110,10835,102
111,10907,102
112,10979,102
113,11051,102
114,11123,102
115,11195,102
116,11267,103
117,11339,103
118,11411,103
119,11483,104
120,11555,104
121,11627,104
122,11699,105
123,11771,105
124,11843,105
125,11915,105
126,11987,105
127,12059,106
128,12131,106
129,12203,106
130,12275,106
131,12347,106
132,12419,106
133,12491,106
134,12563,106
135,12635,106
136,12707,106
137,12779,106
138,12851,107
139,12923,107
140,12995,107
141,13067,107
142,13139,107
143,13211,107
144,13283,108
145,13355,108
146,13427,108
147,13499,108
148,13571,108
149,13643,108
150,13715,108
151,13787,108
152,13859,108
153,13931,108
154,14003,108
155,14075,109
156,14147,109
157,14219,109
158,14291,109
159,14363,109
160,14435,109
161,14507,109
162,14579,109
163,14651,109
164,14723,109
165,14795,109
166,14867,109
167,14939,109
168,15011,109
169,15083,109
170,15155,109
171,15227,109
172,15299,109
173,15371,109
174,15443,109
175,15515,109
176,15587,109
177,15659,109
178,15731,109
179,15803,109
180,15875,109
181,15947,109
182,16019,110
183,16090,110
184,16162,110
185,16234,110
186,16306,111
187,16378,111
188,16450,111
189,16522,111
190,16594,111
191,16666,111
192,16738,111
193,16810,111
194,16882,111
195,16954,111
196,17026,111
197,17098,111
198,17170,111
199,17242,111
200,17314,111
201,17386,111
202,17458,111
203,17530,112
204,17602,112
205,17674,112
206,17746,112
207,17817,112
208,17888,112
209,17960,112
210,18032,112
211,18104,112
212,18176,113
213,18248,113
214,18320,113
215,18392,113
216,18463,113
217,18535,113
218,18607,113
219,18679,113
220,18751,113
221,18823,114
222,18895,114
223,18967,114
224,19039,114
225,19111,114
226,19183,114
227,19255,115
228,19327,115
229,19399,115
230,19471,115
231,19543,115
232,19615,115
233,19687,115
234,19759,115
235,19831,115
236,19903,115
237,19975,115
238,20047,115
239,20119,115
240,20190,115
241,20262,115
242,20334,115
243,20405,115
244,20477,115
245,20549,115
246,20621,115
247,20693,115
248,20765,115
249,20837,115
250,20907,115
251,20979,115
252,21051,115
253,21123,115
254,21194,115
255,21266,115
256,21338,115
257,21410,115
258,21482,115
259,21554,115
260,21626,115
261,21698,115
262,21770,115
263,21842,115
264,21914,115
265,21986,115
266,22058,115
267,22130,115
268,22202,115
269,22274,115
270,22346,115
271,22418,115
272,22490,115
273,22562,115
274,22634,115
275,22706,115
276,22778,115
277,22850,115
278,22922,115
279,22994,115
280,23066,115
281,23138,115
282,23210,115
283,23282,115
284,23354,115
285,23426,115
286,23498,115
287,23570,115
288,23642,115
289,23714,115
290,23786,115
291,23858,115
292,23930,115
293,24002,115
294,24074,115
295,24146,115
296,24218,115
297,24290,115
298,24362,115
299,24434,115
300,24506,115
301,24578,115
302,24648,115
303,24720,115
304,24792,115
305,24864,115
306,24936,115
307,25008,115
308,25080,115
309,25152,115
310,25224,115
311,25296,115
312,25368,115
313,25440,115
314,25512,115
315,25584,115
316,25656,115
317,25728,115
318,25800,116
319,25872,116
320,25944,116
321,26016,116
322,26088,116
323,26160,116
324,26232,116
325,26304,116
326,26376,116
327,26448,116
328,26520,116
329,26592,116
330,26664,116
331,26735,116
332,26807,116
333,26879,116
334,26951,116
335,27021,116
336,27093,116
337,27165,116
338,27237,116
339,27309,116
340,27381,116
341,27453,116
342,27525,116
343,27597,116
344,27669,116
345,27741,116
346,27813,116
347,27885,117
348,27957,117
349,28029,117
350,28101,117
351,28173,117
352,28245,117
353,28317,117
354,28389,117
355,28461,117
356,28533,117
357,28605,118
358,28677,118
359,28749,118
360,28821,118
361,28893,118
362,28965,118
363,29037,118
364,29109,118
365,29181,118
366,29253,118
367,29325,118
368,29397,118
369,29469,118
370,29541,118
371,29613,118
372,29685,118
373,29757,118
374,29829,118
375,29901,118
376,29973,119
377,30045,119
378,30117,119
379,30189,119
380,30261,119
381,30333,119
382,30405,119
383,30477,119
384,30549,119
385,30621,120
386,30693,120
387,30765,120
388,30837,120
389,30909,120
390,30981,120
391,31053,120
392,31125,120
393,31195,120
394,31266,120
395,31338,120
396,31410,120
397,31482,120
398,31554,120
399,31626,120
400,31698,120
401,31770,120
402,31842,120
403,31914,120
404,31986,120
405,32058,120
406,32130,120
407,32202,120
408,32274,120
409,32346,120
410,32417,120
411,32489,120
412,32561,120
413,32633,120
414,32705,120
415,32777,120
416,32849,120
417,32921,120
418,32993,120
419,33065,120
420,33137,120
421,33209,120
422,33281,120
423,33353,120
424,33425,120
425,33497,120
426,33569,120
427,33641,120
428,33713,120
429,33785,120
430,33857,120
431,33929,120
432,34001,120
433,34073,120
434,34145,120
435,34217,120
436,34289,120
437,34361,120
438,34433,120
439,34505,120
440,34577,120
441,34649,120
442,34721,120
443,34793,120
444,34865,120
445,34937,120
446,35009,120
447,35081,120
448,35152,120
449,35224,120
450,35296,120
451,35368,120
452,35440,120
453,35512,120
454,35584,120
455,35656,120
456,35728,120
457,35800,120
458,35870,120
459,35942,120
460,36014,120
461,36086,120
462,36158,120
463,36230,120
464,36302,120
465,36374,121
466,36446,121
467,36518,121
468,36590,121
469,36662,121
470,36732,122
471,36804,122
472,36876,122
473,36948,122
474,37020,122
475,37092,122
476,37164,122
477,37236,122
478,37308,122
479,37380,122
480,37452,122
481,37524,122
482,37596,122
483,37668,122
484,37740,122
485,37812,122
486,37884,122
487,37956,122
488,38028,122
489,38100,122
490,38172,122
491,38244,122
492,38316,122
493,38388,122
494,38460,123
495,38532,123
496,38604,123
497,38676,123
498,38748,123
499,38820,123
500,38892,123
501,38964,123
502,39036,123
503,39108,123
504,39180,123
505,39252,123
506,39324,123
507,39395,123
508,39467,123
509,39539,123
510,39611,123
511,39683,123
512,39755,123
513,39827,123
514,39899,123
515,39971,123
516,40043,123
517,40115,123
518,40187,123
519,40259,123
520,40331,123
521,40403,123
522,40475,123
523,40547,123
524,40619,123
525,40691,123
526,40763,123
527,40835,123
528,40907,123
529,40979,123
530,41051,123
531,41123,123
532,41195,123
533,41267,123
534,41339,123
535,41411,123
536,41483,123
537,41555,123
538,41627,123
539,41699,123
540,41771,123
541,41843,123
542,41915,123
543,41987,123
544,42059,123
545,42131,123
546,42201,124
547,42273,125
548,42345,125
549,42417,125
550,42489,125
551,42561,125
552,42633,125
553,42705,125
554,42777,125
555,42849,125
556,42921,125
557,42993,125
558,43065,125
559,43137,125
560,43209,125
561,43281,125
562,43353,125
563,43425,125
564,43497,125
565,43569,125
566,43641,126
567,43713,126
568,43785,126
569,43857,126
570,43929,126
571,44001,126
572,44073,126
573,44144,126
574,44216,126
575,44288,126
576,44360,126
577,44432,126
578,44504,126
579,44576,126
580,44648,126
581,44720,126
582,44792,126
583,44864,126
584,44936,126
585,45008,126
586,45080,126
587,45152,126
588,45224,126
589,45296,126
590,45368,126
591,45440,126
592,45512,126
593,45584,127
594,45656,127
595,45728,127
596,45800,127
597,45872,127
598,45944,127
599,46016,127
600,46088,127
601,46160,127
602,46232,127
603,46304,127
604,46376,127
605,46448,127
606,46520,127
607,46592,127
608,46664,127
609,46736,127
610,46808,127
611,46880,127
612,46952,127
613,47024,127
614,47096,127
615,47168,127
616,47240,127
617,47312,127
618,47384,127
619,47456,127
620,47528,127
621,47600,127
622,47672,127
623,47744,127
624,47816,127
625,47888,127
626,47960,127
627,48031,127
628,48103,127
629,48175,127
630,48247,127
631,48319,127
632,48391,127
633,48463,127
634,48535,127
635,48607,127
636,48679,127
637,48751,127
638,48823,127
639,48895,127
640,48967,127
641,49039,127
642,49111,127
643,49183,127
644,49255,127
645,49327,127
646,49399,127
647,49471,127
648,49541,127
649,49613,127
650,49685,127
651,49757,127
652,49829,127
653,49901,127
654,49973,127
655,50045,127
656,50117,127
657,50189,127
658,50261,127
659,50333,127
660,50405,127
661,50477,127
662,50549,127
663,50621,127
664,50693,127
665,50765,127
666,50837,127
667,50909,127
668,50981,127
669,51053,127
670,51125,127
671,51197,127
672,51269,127
673,51341,127
674,51413,127
675,51485,127
676,51557,127
677,51627,127
678,51699,127
679,51771,127
680,51843,127
681,51915,127
682,51987,127
683,52059,127
684,52131,127
685,52203,127
686,52275,127
687,52347,127
688,52419,127
689,52490,127
690,52562,127
691,52632,127
692,52704,127
693,52776,127
694,52848,127
695,52920,127
696,52992,127
697,53064,127
698,53136,127
699,53208,127
700,53280,127
701,53352,127
702,53424,127
703,53496,127
704,53568,127
705,53640,127
706,53712,127
707,53784,127
708,53856,127
709,53928,127
710,54000,127
711,54072,127
712,54144,127
713,54216,127
714,54288,127
715,54360,127
716,54432,127
717,54504,127
718,54576,127
719,54648,127
720,54720,127
721,54792,127
722,54864,127
723,54936,127
724,55008,127
725,55080,127
726,55152,127
727,55224,127
728,55296,127
729,55368,127
730,55440,127
731,55512,127
732,55584,127
733,55656,127
734,55728,127
735,55800,127
736,55872,127
737,55944,127
738,56016,127
739,56088,127
740,56160,127
741,56232,127
742,56304,127
743,56376,127
744,56448,127
745,56520,127
746,56592,127
747,56664,127
748,56736,127
749,56808,127
750,56880,128
751,56952,128
752,57024,128
753,57096,128
754,57168,128
