,nfe,improvements
0,100,31
1,200,41
2,300,50
3,400,58
4,500,66
5,600,72
6,700,74
7,800,77
8,900,82
9,1000,86
10,1100,90
11,1200,91
12,1300,94
13,1400,100
14,1500,103
15,1600,109
16,1700,111
17,1800,114
18,1900,117
19,2000,120
20,2100,126
21,2200,128
22,2300,132
23,2400,134
24,2500,137
25,2600,142
26,2700,143
27,2800,147
28,2900,150
29,3000,151
30,3100,152
31,3200,153
32,3300,154
33,3399,154
34,3499,155
35,3599,158
36,3699,160
37,3799,161
38,3899,161
39,3999,162
40,4099,166
41,4199,167
42,4299,170
43,4399,171
44,4499,171
45,4599,173
46,4699,177
47,4797,179
48,4897,181
49,4997,181
50,5097,182
51,5197,183
52,5297,186
53,5397,187
54,5497,188
55,5596,189
56,5696,190
57,5796,192
58,5896,193
59,5996,194
60,6096,195
61,6196,197
62,6296,197
63,6396,198
64,6496,200
65,6596,200
66,6696,201
67,6796,201
68,6896,202
69,6996,203
70,7096,204
71,7196,204
72,7296,204
73,7396,204
74,7496,205
75,7596,206
76,7695,206
77,7795,208
78,7895,208
79,7995,208
80,8095,208
81,8195,210
82,8295,210
83,8395,213
84,8495,213
85,8595,213
86,8695,215
87,8795,215
88,8895,215
89,8995,216
90,9095,216
91,9195,216
92,9295,217
93,9395,217
94,9495,218
95,9594,219
96,9694,220
97,9794,220
98,9894,220
99,10114,220
100,10274,222
101,10434,226
102,10594,228
103,10754,232
104,10914,234
105,11074,237
106,11232,239
107,11392,242
108,11552,243
109,11712,244
110,11872,245
111,12031,248
112,12191,249
113,12351,250
114,12511,250
115,12671,252
116,12831,253
117,12991,255
118,13151,256
119,13311,257
120,13471,259
121,13631,261
122,13791,261
123,13951,262
124,14110,263
125,14270,266
126,14430,269
127,14590,270
128,14750,270
129,14910,270
130,15070,270
131,15230,271
132,15390,272
133,15550,272
134,15710,273
135,15870,273
136,16030,274
137,16190,275
138,16350,275
139,16510,275
140,16670,275
141,16830,276
142,16990,276
143,17150,277
144,17310,277
145,17470,278
146,17630,278
147,17790,278
148,17950,279
149,18110,280
150,18270,281
151,18430,281
152,18590,282
153,18750,283
154,18910,283
155,19070,283
156,19230,283
157,19390,284
158,19550,284
159,19710,284
160,19870,284
161,20030,284
162,20190,284
163,20350,285
164,20510,285
165,20670,286
166,20830,286
167,20990,286
168,21150,286
169,21310,286
170,21470,286
171,21630,286
172,21790,286
173,21950,286
174,22110,286
175,22270,287
176,22430,287
177,22590,287
178,22750,287
179,22910,287
180,23070,288
181,23229,288
182,23389,288
183,23549,289
184,23709,289
185,23869,289
186,24029,289
187,24189,291
188,24349,295
189,24509,295
190,24669,296
191,24829,298
192,24989,299
193,25149,300
194,25309,300
195,25469,300
196,25628,300
197,25788,300
198,25948,301
199,26108,302
200,26268,303
201,26428,305
202,26588,305
203,26748,307
204,26908,307
205,27068,307
206,27228,307
207,27387,307
208,27547,307
209,27707,308
210,27866,308
211,28026,308
212,28186,308
213,28346,308
214,28505,310
215,28664,310
216,28824,310
217,28984,310
218,29143,310
219,29303,310
220,29463,311
221,29623,311
222,29783,312
223,29943,312
224,30103,312
225,30263,312
226,30423,312
227,30583,312
228,30743,312
229,30903,312
230,31062,312
231,31222,312
232,31380,313
233,31540,313
234,31700,313
235,31860,313
236,32020,313
237,32178,313
238,32338,313
239,32498,313
240,32658,313
241,32817,313
242,32977,313
243,33137,314
244,33297,315
245,33457,315
246,33617,316
247,33777,317
248,33937,317
249,34097,319
250,34257,320
251,34417,322
252,34577,324
253,34737,325
254,34897,325
255,35057,325
256,35217,325
257,35377,327
258,35537,329
259,35697,329
260,35857,329
261,36017,329
262,36177,329
263,36337,330
264,36497,331
265,36657,331
266,36817,331
267,36977,331
268,37137,331
269,37297,333
270,37457,333
271,37617,334
272,37777,334
273,37937,334
274,38097,334
275,38257,336
276,38417,337
277,38577,337
278,38737,338
279,38897,338
280,39056,339
281,39216,340
282,39376,341
283,39536,341
284,39696,341
285,39856,342
286,40016,342
287,40176,342
288,40336,342
289,40496,342
290,40655,342
291,40815,342
292,40975,342
293,41135,342
294,41294,342
295,41454,342
296,41614,342
297,41774,342
298,41934,342
299,42094,342
300,42254,342
301,42414,342
302,42574,342
303,42733,342
304,42893,342
305,43053,342
306,43213,342
307,43373,342
308,43533,342
309,43693,342
310,43852,342
311,44012,342
312,44172,343
313,44332,345
314,44490,347
315,44650,347
316,44810,347
317,44970,347
318,45130,347
319,45290,347
320,45450,347
321,45610,348
322,45770,348
323,45930,348
324,46090,349
325,46250,349
326,46409,349
327,46569,349
328,46729,350
329,46889,350
330,47049,350
331,47209,351
332,47369,351
333,47529,354
334,47689,354
335,47849,354
