,nfe,improvements
0,100,17
1,200,22
2,300,28
3,400,39
4,500,43
5,600,49
6,700,51
7,800,56
8,900,58
9,1000,63
10,1100,64
11,1200,66
12,1299,69
13,1399,73
14,1498,79
15,1598,83
16,1697,88
17,1797,92
18,1896,96
19,1995,103
20,2095,105
21,2195,108
22,2294,110
23,2394,112
24,2493,114
25,2593,119
26,2693,124
27,2793,128
28,2893,135
29,2992,145
30,3091,151
31,3190,156
32,3288,161
33,3388,165
34,3487,170
35,3587,175
36,3686,181
37,3786,184
38,3884,187
39,3984,189
40,4084,190
41,4184,193
42,4283,195
43,4382,196
44,4482,198
45,4582,200
46,4682,204
47,4782,205
48,4881,206
49,4981,209
50,5081,210
51,5179,211
52,5279,211
53,5378,214
54,5478,214
55,5576,217
56,5676,217
57,5776,220
58,5872,225
59,5971,227
60,6069,228
61,6169,229
62,6269,232
63,6368,233
64,6466,233
65,6565,233
66,6665,235
67,6762,235
68,6858,238
69,6955,238
70,7055,242
71,7155,244
72,7254,245
73,7354,246
74,7454,249
75,7554,249
76,7654,250
77,7752,251
78,7852,254
79,7949,254
80,8047,254
81,8146,256
82,8246,256
83,8346,258
84,8444,258
85,8544,261
86,8642,263
87,8742,266
88,8841,266
89,8941,266
90,9038,267
91,9137,270
92,9235,271
93,9332,274
94,9431,275
95,9531,277
96,9631,277
97,9731,278
98,9831,279
99,10096,280
100,10315,283
101,10535,287
102,10754,295
103,10974,302
104,11189,311
105,11407,314
106,11624,318
107,11842,323
108,12061,326
109,12279,330
110,12499,331
111,12718,335
112,12937,339
113,13157,345
114,13375,345
115,13595,349
116,13814,352
117,14033,355
118,14253,360
119,14471,366
120,14691,367
121,14910,369
122,15129,370
123,15349,372
124,15568,372
125,15784,372
126,16002,372
127,16221,375
128,16439,378
129,16657,379
130,16874,381
131,17094,382
132,17313,382
133,17532,383
134,17751,383
135,17971,383
136,18191,383
137,18409,385
138,18627,385
139,18844,385
140,19062,387
141,19282,388
142,19501,390
143,19721,392
144,19941,392
145,20158,394
146,20377,394
147,20596,396
148,20815,397
149,21033,400
150,21251,401
151,21471,404
152,21691,404
153,21910,405
154,22130,406
155,22347,406
156,22566,408
157,22784,408
158,23002,411
159,23220,412
160,23438,413
161,23657,415
162,23876,416
163,24093,419
164,24309,421
165,24527,421
166,24747,422
167,24965,423
168,25183,425
169,25402,426
170,25622,427
171,25842,428
172,26061,428
173,26279,429
174,26499,430
175,26718,432
176,26936,433
177,27155,434
178,27375,437
179,27594,438
180,27812,439
181,28030,441
182,28248,443
183,28468,444
184,28687,444
185,28905,445
186,29122,447
187,29342,448
188,29560,449
189,29778,449
190,29997,449
191,30216,451
192,30434,454
193,30654,454
194,30873,455
195,31092,455
196,31312,455
197,31530,456
198,31748,458
199,31968,458
200,32182,459
201,32402,459
202,32622,459
203,32840,459
204,33059,459
205,33279,460
206,33495,461
207,33714,461
208,33934,461
209,34150,462
210,34368,462
211,34586,462
212,34803,463
213,35023,465
214,35243,465
215,35463,465
216,35681,465
217,35898,465
218,36117,466
219,36336,466
220,36555,466
221,36775,467
222,36994,468
223,37210,469
224,37429,472
225,37648,473
226,37864,473
227,38084,476
228,38303,477
229,38522,477
230,38740,479
231,38960,479
232,39180,480
233,39400,481
234,39620,481
235,39837,481
236,40057,481
237,40276,482
