,nfe,improvements
0,100,23
1,198,27
2,298,31
3,398,35
4,498,42
5,597,47
6,695,54
7,795,57
8,893,60
9,993,63
10,1093,67
11,1191,77
12,1291,79
13,1390,88
14,1490,97
15,1590,108
16,1690,112
17,1790,122
18,1890,134
19,1989,143
20,2088,153
21,2188,158
22,2287,165
23,2387,170
24,2486,174
25,2586,178
26,2683,180
27,2782,183
28,2882,186
29,2982,187
30,3082,190
31,3182,191
32,3282,194
33,3381,196
34,3481,198
35,3581,202
36,3681,204
37,3781,209
38,3881,212
39,3980,212
40,4080,215
41,4180,215
42,4280,215
43,4379,218
44,4479,218
45,4579,218
46,4677,219
47,4776,221
48,4876,221
49,4974,224
50,5074,225
51,5174,227
52,5274,228
53,5373,230
54,5473,230
55,5571,231
56,5670,231
57,5770,234
58,5870,234
59,5967,235
60,6067,235
61,6167,235
62,6266,235
63,6366,235
64,6466,237
65,6566,238
66,6665,238
67,6762,238
68,6862,239
69,6961,241
70,7060,241
71,7160,244
72,7260,245
73,7359,246
74,7458,247
75,7558,247
76,7657,247
77,7757,248
78,7856,248
79,7956,248
80,8054,249
81,8154,249
82,8253,249
83,8352,250
84,8452,250
85,8552,250
86,8652,250
87,8752,250
88,8852,250
89,8951,251
90,9049,252
91,9149,252
92,9249,252
93,9349,252
94,9449,252
95,9549,253
96,9649,253
97,9749,253
98,9849,253
99,10056,253
100,10199,256
101,10341,256
102,10485,260
103,10626,261
104,10767,263
105,10910,264
106,11053,265
107,11196,265
108,11340,266
109,11484,267
110,11628,268
111,11772,268
112,11916,269
113,12060,269
114,12203,269
115,12346,269
116,12487,269
117,12631,269
118,12774,271
119,12918,273
120,13062,276
121,13206,276
122,13350,277
123,13494,278
124,13638,278
125,13782,278
126,13925,280
127,14069,281
128,14213,282
129,14357,284
130,14499,285
131,14643,285
132,14785,285
133,14927,285
134,15070,285
135,15213,286
136,15357,287
137,15501,287
138,15645,288
139,15789,290
140,15933,290
141,16076,290
142,16219,290
143,16363,290
144,16501,290
145,16644,291
146,16788,291
147,16932,291
148,17075,291
149,17217,292
150,17359,293
151,17503,294
152,17645,295
153,17788,297
154,17932,297
155,18076,297
156,18219,297
157,18362,297
158,18504,298
159,18648,299
160,18791,299
161,18935,299
162,19079,299
163,19221,299
164,19362,299
165,19505,300
166,19645,300
167,19786,300
168,19930,300
169,20074,300
170,20218,301
171,20360,301
172,20504,301
173,20647,301
174,20790,301
175,20934,301
176,21075,301
177,21219,301
178,21362,302
179,21505,302
180,21649,302
181,21793,303
182,21937,304
183,22080,304
184,22223,304
185,22366,304
186,22510,304
187,22653,304
188,22796,304
189,22938,305
190,23082,305
191,23226,305
192,23370,306
193,23512,306
194,23656,306
195,23800,306
196,23944,307
197,24086,308
198,24230,308
199,24374,308
200,24516,308
201,24659,308
202,24803,309
203,24945,310
204,25089,310
205,25233,310
206,25376,310
207,25520,310
208,25661,310
209,25805,310
210,25949,310
211,26089,310
212,26233,310
213,26377,310
214,26520,310
215,26663,310
216,26807,310
217,26951,310
218,27095,310
219,27239,310
220,27383,310
221,27526,310
222,27670,310
223,27811,310
224,27955,310
225,28099,310
226,28243,312
227,28387,314
228,28530,314
229,28670,314
230,28812,314
231,28955,314
232,29099,314
233,29242,314
234,29385,314
235,29529,314
236,29673,314
237,29817,314
238,29960,316
239,30103,316
240,30247,316
241,30391,316
242,30535,316
243,30678,316
244,30822,316
245,30966,317
246,31110,317
247,31252,317
248,31394,317
249,31538,318
250,31681,319
