,nfe,improvements
0,100,15
1,200,19
2,300,26
3,399,32
4,498,37
5,598,45
6,697,50
7,797,52
8,895,56
9,995,62
10,1094,64
11,1194,69
12,1293,72
13,1393,78
14,1492,81
15,1592,86
16,1692,89
17,1791,89
18,1891,95
19,1991,97
20,2091,102
21,2191,104
22,2291,106
23,2391,108
24,2491,113
25,2591,113
26,2691,116
27,2791,123
28,2891,131
29,2990,134
30,3090,137
31,3188,141
32,3287,150
33,3387,159
34,3485,164
35,3582,174
36,3681,179
37,3779,184
38,3878,190
39,3978,199
40,4077,205
41,4177,206
42,4276,209
43,4376,214
44,4475,220
45,4575,228
46,4675,229
47,4775,230
48,4875,233
49,4975,235
50,5074,237
51,5171,240
52,5271,241
53,5371,242
54,5471,242
55,5567,244
56,5667,246
57,5767,247
58,5867,248
59,5965,248
60,6065,250
61,6164,252
62,6262,255
63,6362,256
64,6462,258
65,6562,260
66,6661,263
67,6760,265
68,6860,268
69,6960,270
70,7060,272
71,7159,274
72,7258,275
73,7358,276
74,7458,276
75,7558,278
76,7658,279
77,7758,279
78,7857,279
79,7957,281
80,8057,283
81,8156,283
82,8256,283
83,8353,284
84,8453,285
85,8552,286
86,8652,289
87,8752,289
88,8849,291
89,8949,292
90,9048,292
91,9148,292
92,9247,293
93,9347,294
94,9445,294
95,9544,294
96,9643,295
97,9743,296
98,9843,297
99,10075,297
100,10251,297
101,10427,301
102,10602,304
103,10775,310
104,10950,319
105,11124,321
106,11300,322
107,11476,322
108,11652,322
109,11827,326
110,11997,327
111,12173,328
112,12346,329
113,12521,330
114,12696,331
115,12872,334
116,13046,334
117,13221,334
118,13397,335
119,13571,336
120,13747,336
121,13921,337
122,14097,338
123,14270,338
124,14446,338
125,14622,339
126,14798,341
127,14974,342
128,15147,342
129,15323,343
130,15496,343
131,15672,343
132,15848,343
133,16024,345
134,16198,345
135,16374,345
136,16550,346
137,16722,346
138,16897,346
139,17072,346
140,17248,347
141,17424,347
142,17599,347
143,17775,347
144,17951,348
145,18127,349
146,18302,349
147,18478,349
148,18654,349
149,18830,349
150,19006,349
151,19182,350
152,19355,352
153,19529,353
154,19705,354
155,19881,355
156,20055,355
157,20230,355
158,20406,356
159,20580,356
160,20754,357
161,20930,357
162,21104,357
163,21280,357
164,21455,357
165,21629,357
166,21804,358
167,21979,359
168,22152,360
169,22328,360
170,22502,361
