,nfe,improvements
0,100,19
1,200,21
2,300,27
3,400,34
4,500,41
5,600,46
6,700,49
7,800,50
8,900,56
9,1000,58
10,1100,59
11,1200,60
12,1299,62
13,1399,64
14,1499,66
15,1599,68
16,1697,69
17,1797,71
18,1897,74
19,1996,77
20,2095,78
21,2195,79
22,2295,83
23,2393,85
24,2493,87
25,2593,88
26,2693,91
27,2793,93
28,2893,95
29,2993,97
30,3093,100
31,3193,104
32,3292,109
33,3391,114
34,3488,117
35,3588,118
36,3688,119
37,3788,122
38,3887,124
39,3987,129
40,4086,130
41,4185,132
42,4283,134
43,4382,135
44,4482,138
45,4580,140
46,4680,142
47,4780,144
48,4880,146
49,4977,146
50,5077,149
51,5177,153
52,5277,157
53,5374,158
54,5474,158
55,5572,159
56,5672,161
57,5772,161
58,5871,161
59,5970,162
60,6070,166
61,6169,166
62,6268,167
63,6368,168
64,6466,168
65,6566,170
66,6664,172
67,6764,172
68,6864,172
69,6964,172
70,7064,174
71,7164,174
72,7264,176
73,7364,176
74,7464,177
75,7563,178
76,7663,181
77,7763,181
78,7863,182
79,7962,183
80,8062,185
81,8162,188
82,8262,190
83,8362,194
84,8462,195
85,8562,198
86,8660,198
87,8760,202
88,8860,205
89,8959,206
90,9058,209
91,9158,209
92,9258,212
93,9358,214
94,9458,217
95,9557,220
96,9657,221
97,9756,226
98,9856,228
99,9954,232
100,10054,239
101,10154,242
102,10254,246
103,10354,250
104,10454,253
105,10554,257
106,10654,262
107,10753,267
108,10853,273
109,10953,273
110,11051,277
111,11148,280
112,11248,281
113,11346,284
114,11444,285
115,11543,287
116,11643,288
117,11743,289
118,11842,289
119,11940,290
120,12040,292
121,12140,296
122,12240,296
123,12339,297
124,12439,299
125,12539,302
126,12639,304
127,12739,306
128,12837,309
129,12936,311
130,13036,315
131,13135,317
132,13234,321
133,13331,323
134,13431,324
135,13531,325
136,13630,326
137,13730,329
138,13829,332
139,13929,333
140,14029,336
141,14127,339
142,14225,339
143,14325,340
144,14425,341
145,14525,343
146,14624,343
147,14722,344
148,14822,345
149,14922,347
150,15022,349
151,15121,350
152,15219,351
153,15319,355
154,15419,355
155,15518,356
156,15618,358
157,15718,360
158,15817,361
159,15917,362
160,16017,366
161,16117,366
162,16215,366
163,16312,368
164,16412,369
165,16511,370
166,16609,371
167,16708,372
168,16808,374
169,16908,377
170,17008,378
171,17108,378
172,17208,381
173,17307,382
174,17407,384
175,17507,385
176,17607,385
177,17707,385
178,17807,386
179,17906,387
180,18006,388
181,18106,390
182,18204,390
183,18303,392
184,18403,393
185,18503,394
186,18603,394
187,18703,394
188,18803,396
189,18903,399
190,19003,400
191,19103,401
192,19203,401
193,19303,401
194,19403,402
195,19503,402
196,19603,402
197,19701,402
198,19801,403
199,20041,403
200,20228,404
201,20414,408
202,20601,411
203,20789,412
204,20976,421
205,21164,425
206,21350,426
207,21538,427
208,21726,427
209,21911,429
210,22099,429
211,22287,430
212,22475,431
213,22663,432
214,22849,433
215,23036,433
216,23224,434
217,23412,435
218,23600,435
219,23787,435
220,23975,435
221,24163,435
222,24349,435
223,24537,436
224,24724,437
225,24911,439
226,25098,439
227,25286,440
228,25474,441
229,25661,441
230,25845,442
231,26030,444
232,26216,444
233,26403,445
234,26590,446
235,26776,446
236,26964,446
237,27151,446
238,27337,447
239,27525,448
240,27713,450
241,27901,451
242,28087,451
243,28275,452
244,28461,454
245,28649,454
246,28837,454
247,29025,455
248,29212,456
249,29400,457
250,29588,457
251,29773,457
252,29959,457
253,30147,457
254,30335,457
255,30521,457
256,30708,457
257,30896,458
258,31083,459
259,31269,460
260,31457,461
261,31642,463
262,31830,463
263,32018,463
264,32205,463
265,32391,463
266,32579,463
267,32766,463
268,32950,463
269,33138,464
270,33326,464
271,33512,465
272,33699,465
273,33882,465
274,34068,465
275,34256,465
276,34444,465
277,34631,465
278,34819,465
279,35007,465
280,35194,465
281,35377,465
282,35562,465
283,35746,466
284,35932,466
285,36120,467
286,36308,467
287,36495,467
288,36682,467
289,36868,467
290,37055,467
291,37241,468
292,37428,468
293,37615,468
294,37803,468
295,37991,469
296,38179,469
297,38367,469
298,38551,469
299,38839,469
300,38978,469
301,39114,471
302,39252,474
303,39392,476
304,39530,476
305,39670,477
306,39810,478
307,39948,479
308,40086,480
309,40222,480
310,40362,480
311,40502,480
312,40641,481
313,40781,482
314,40921,482
315,41061,483
316,41199,484
317,41336,484
318,41475,484
319,41615,484
320,41753,485
321,41893,485
322,42033,485
323,42173,485
324,42313,485
325,42453,485
326,42593,485
327,42732,485
328,42871,485
329,43011,485
330,43151,486
331,43288,486
332,43426,486
333,43564,486
334,43701,486
335,43838,486
336,43977,486
337,44117,487
338,44257,487
339,44397,487
340,44536,487
341,44676,487
342,44815,487
343,44955,488
344,45095,489
345,45234,489
346,45372,489
347,45511,489
348,45651,489
349,45791,489
350,45931,489
351,46070,489
352,46210,489
353,46350,489
354,46486,489
355,46624,489
356,46764,489
357,46904,489
358,47044,489
359,47180,489
360,47318,489
361,47458,489
362,47598,490
363,47736,490
364,47876,490
365,48016,490
366,48156,490
367,48296,490
368,48436,491
369,48575,491
370,48715,491
371,48853,491
372,48992,491
373,49132,491
374,49272,491
375,49412,491
376,49551,491
377,49689,491
378,49824,491
379,49964,491
380,50104,491
381,50243,491
382,50383,492
383,50520,492
384,50660,492
385,50800,492
386,50938,492
387,51078,492
388,51218,492
389,51358,492
390,51498,492
391,51637,492
392,51776,492
393,51914,492
394,52054,492
395,52194,492
396,52332,492
397,52472,492
398,52610,492
399,52749,493
400,52889,493
401,53026,493
402,53165,493
403,53305,494
404,53443,494
405,53581,494
406,53719,494
407,53859,494
408,53999,494
409,54139,494
410,54278,495
411,54418,495
412,54556,495
413,54696,495
414,54833,495
415,54972,495
416,55109,495
417,55248,495
418,55387,495
419,55524,495
420,55662,495
421,55802,495
422,55941,495
423,56080,495
424,56219,497
425,56359,497
426,56499,497
427,56639,497
428,56778,497
429,56918,497
430,57058,497
431,57198,497
432,57338,497
433,57478,497
434,57617,498
435,57757,498
436,57896,499
437,58036,499
438,58175,499
439,58315,499
440,58455,499
441,58592,499
442,58729,499
443,58867,499
444,59007,499
445,59146,499
446,59284,499
447,59423,499
448,59562,499
449,59701,499
450,59840,499
451,59980,499
452,60118,499
453,60256,499
454,60394,499
455,60531,499
456,60670,499
457,60810,499
458,60950,499
459,61090,499
460,61229,499
461,61366,499
462,61502,499
463,61642,499
464,61779,499
465,61919,499
466,62058,499
467,62197,499
468,62335,499
469,62474,499
470,62612,499
471,62752,500
472,62891,500
473,63031,500
474,63169,500
475,63309,500
476,63448,500
477,63588,500
478,63727,500
479,63867,500
480,64007,500
481,64147,500
482,64287,501
483,64427,501
484,64567,502
485,64705,503
486,64844,503
487,64984,503
488,65124,503
489,65264,503
490,65402,503
491,65540,503
492,65680,503
493,65819,503
494,65959,503
495,66099,503
496,66238,503
497,66377,503
498,66517,503
499,66656,503
500,66795,503
501,66934,503
502,67073,503
503,67213,503
504,67353,503
505,67493,503
506,67632,503
507,67771,503
508,67911,503
509,68051,504
510,68191,505
511,68330,506
512,68470,506
513,68609,506
514,68748,506
515,68886,506
516,69026,506
517,69166,506
518,69305,506
519,69445,507
520,69584,507
521,69723,507
522,69863,507
523,70003,507
524,70142,507
525,70282,509
526,70421,510
527,70557,510
528,70697,510
529,70837,510
530,70977,510
531,71116,510
532,71253,510
533,71393,510
534,71533,510
535,71673,510
536,71811,510
537,71950,510
538,72090,510
539,72230,510
540,72370,510
541,72510,510
542,72650,510
543,72789,510
544,72926,510
545,73064,510
546,73204,511
547,73344,511
548,73484,511
549,73623,511
550,73763,511
551,73903,511
552,74043,511
553,74183,511
554,74323,511
555,74462,511
