,nfe,improvements
0,100,20
1,200,25
2,300,30
3,400,34
4,500,40
5,600,47
6,700,48
7,800,52
8,899,53
9,999,53
10,1097,57
11,1196,58
12,1294,62
13,1394,64
14,1492,65
15,1590,67
16,1689,70
17,1789,72
18,1888,72
19,1988,73
20,2088,75
21,2186,77
22,2285,79
23,2384,80
24,2484,83
25,2584,86
26,2684,89
27,2784,90
28,2884,97
29,2983,107
30,3081,110
31,3180,111
32,3280,117
33,3379,121
34,3479,128
35,3577,129
36,3677,132
37,3777,136
38,3876,142
39,3976,144
40,4076,148
41,4175,152
42,4275,153
43,4374,156
44,4474,157
45,4573,158
46,4671,161
47,4771,161
48,4869,165
49,4969,171
50,5069,177
51,5169,179
52,5269,182
53,5369,189
54,5468,190
55,5565,190
56,5664,191
57,5764,193
58,5864,194
59,5963,197
60,6063,198
61,6162,198
62,6262,199
63,6362,205
64,6461,208
65,6561,210
66,6661,214
67,6761,219
68,6861,221
69,6961,223
70,7059,227
71,7159,228
72,7258,232
73,7358,235
74,7457,238
75,7557,240
76,7657,242
77,7757,245
78,7857,247
79,7957,249
80,8057,251
81,8156,253
82,8255,256
83,8355,257
84,8455,260
85,8553,260
86,8653,260
87,8753,264
88,8853,267
89,8953,268
90,9053,270
91,9153,274
92,9253,276
93,9352,276
94,9452,276
95,9552,280
96,9652,283
97,9752,283
98,9852,285
99,10099,286
100,10294,291
101,10490,300
102,10681,304
103,10877,305
104,11070,307
105,11266,315
106,11458,319
107,11652,322
108,11847,329
109,12042,340
110,12238,349
111,12432,354
112,12628,360
113,12823,365
114,13019,369
115,13215,372
116,13411,376
117,13607,377
118,13800,381
119,13995,384
120,14190,384
121,14386,387
122,14582,387
123,14775,388
124,14971,389
125,15167,393
126,15360,394
127,15552,394
128,15748,396
129,15942,397
130,16136,400
131,16332,404
132,16526,405
133,16720,407
134,16915,412
135,17108,416
136,17302,420
137,17498,422
138,17694,424
139,17890,425
140,18086,426
141,18281,428
142,18475,430
143,18670,430
144,18866,431
145,19061,431
146,19254,432
147,19449,433
148,19645,434
149,19841,436
150,20036,440
151,20230,441
152,20422,442
153,20618,443
154,20812,444
155,21008,446
156,21203,446
157,21397,448
158,21592,449
159,21787,451
160,21982,453
161,22177,456
162,22372,456
163,22568,457
164,22763,458
165,22959,458
166,23155,459
167,23350,459
168,23545,461
169,23741,462
170,23936,462
171,24132,464
172,24326,464
173,24522,466
174,24718,466
175,24910,467
176,25105,470
177,25300,471
178,25495,473
179,25691,473
180,25886,473
181,26082,473
182,26277,474
183,26472,475
184,26668,476
185,26862,477
186,27058,478
187,27253,478
188,27448,478
189,27643,479
190,27839,479
191,28035,480
192,28231,481
193,28427,482
194,28623,482
195,28817,482
196,29012,482
197,29206,482
198,29401,483
199,29596,484
200,29790,487
201,29986,487
202,30182,488
203,30376,489
204,30571,490
205,30767,491
206,30962,492
207,31156,494
208,31352,495
209,31545,495
210,31741,497
211,31937,500
212,32132,500
213,32326,501
214,32522,501
215,32716,502
216,32912,503
217,33106,504
218,33300,505
219,33494,505
220,33688,505
221,33883,505
222,34079,505
223,34272,505
224,34466,507
225,34662,509
226,34856,509
227,35052,509
228,35247,510
229,35443,512
230,35637,513
231,35831,514
232,36026,515
233,36222,516
234,36416,516
235,36608,516
236,36804,516
237,37000,516
238,37194,516
239,37390,516
240,37585,517
241,37779,517
242,37975,518
243,38171,518
244,38367,518
245,38562,519
246,38758,519
247,38951,519
248,39144,520
249,39340,521
250,39536,521
251,39731,521
252,39926,521
253,40119,521
254,40312,521
255,40508,521
256,40704,521
257,40899,522
258,41092,522
259,41287,522
260,41482,524
261,41678,525
262,41872,525
263,42065,526
264,42261,526
265,42455,527
266,42650,527
267,42845,529
268,43039,529
269,43233,529
270,43427,529
271,43622,529
272,43817,530
273,44009,530
274,44205,530
275,44399,530
276,44592,531
277,44787,532
278,44983,532
279,45178,532
280,45374,532
281,45570,533
282,45766,534
283,45962,534
284,46158,534
285,46352,534
286,46547,535
287,46740,535
288,46936,537
289,47130,538
290,47325,538
291,47521,538
292,47717,538
293,47913,538
294,48109,538
295,48305,540
296,48501,540
297,48695,540
298,48891,540
299,49085,540
300,49280,540
301,49473,540
302,49669,540
303,49864,540
304,50059,541
305,50252,542
306,50447,543
307,50643,543
308,50838,543
309,51033,543
310,51228,543
311,51422,544
312,51618,545
313,51814,545
314,52009,545
315,52203,545
316,52399,545
317,52591,545
318,52786,545
319,52980,545
320,53174,545
321,53370,545
322,53566,545
323,53762,545
324,53955,545
325,54151,545
326,54346,545
327,54538,545
328,54734,545
329,54930,545
330,55126,545
331,55321,545
332,55517,546
333,55713,546
334,55909,546
335,56101,546
336,56296,546
337,56492,546
338,56686,548
339,56882,549
340,57078,549
341,57274,549
342,57469,549
343,57664,549
344,57857,549
345,58049,549
346,58244,549
347,58440,549
348,58636,549
349,58832,549
350,59028,549
351,59220,549
352,59416,549
353,59611,550
354,59807,550
355,60002,551
356,60197,551
357,60392,551
358,60587,551
359,60782,551
360,60977,551
361,61171,551
362,61367,551
363,61563,551
364,61759,551
365,61955,551
366,62151,551
367,62347,551
368,62541,551
369,62737,551
370,62933,551
371,63129,551
372,63324,551
373,63519,552
374,63715,552
375,63910,552
376,64105,554
377,64299,554
378,64493,555
379,64689,556
380,64885,556
381,65081,556
382,65277,558
383,65473,558
384,65668,559
385,65862,559
386,66057,560
387,66251,560
388,66446,560
389,66642,560
390,66836,560
391,67031,560
392,67226,560
393,67421,560
394,67617,560
395,67811,560
396,68004,560
397,68200,560
398,68395,560
399,68703,560
400,68854,560
401,69006,561
402,69158,563
403,69307,565
404,69458,566
405,69610,567
406,69760,567
407,69910,568
408,70060,568
409,70210,569
410,70360,569
411,70512,571
412,70663,571
413,70815,572
414,70967,572
415,71119,573
416,71268,573
417,71420,573
418,71572,574
419,71723,574
420,71875,576
421,72027,577
422,72178,577
423,72330,577
424,72481,578
425,72633,578
426,72784,578
427,72936,578
428,73087,579
429,73237,579
430,73388,579
431,73540,579
432,73690,579
433,73838,579
434,73988,579
435,74140,579
436,74292,579
437,74443,579
438,74595,579
439,74747,579
440,74896,579
441,75047,579
442,75197,579
443,75349,579
444,75501,579
445,75653,579
446,75805,579
447,75957,579
448,76109,579
449,76261,579
450,76413,579
451,76565,579
452,76717,579
453,76867,579
454,77019,579
455,77169,580
456,77320,580
457,77470,580
458,77619,580
459,77770,580
460,77922,580
461,78074,580
462,78225,580
463,78377,580
464,78529,580
465,78681,580
466,78833,580
467,78985,580
468,79135,580
469,79287,581
470,79439,581
471,79589,581
472,79741,582
473,79893,582
474,80043,583
475,80194,583
476,80345,583
477,80495,583
478,80647,583
479,80798,583
480,80950,583
481,81102,583
482,81253,583
483,81405,583
484,81555,583
485,81707,583
486,81859,584
487,82008,584
488,82157,584
489,82308,584
490,82458,584
491,82608,584
492,82760,584
493,82910,584
494,83060,584
495,83212,584
496,83361,584
497,83512,584
498,83663,584
499,83815,585
500,83967,585
501,84118,585
502,84268,585
503,84420,585
504,84572,586
505,84724,586
506,84876,586
507,85028,586
508,85178,586
509,85328,586
510,85478,586
511,85630,586
512,85782,586
513,85933,586
514,86083,586
515,86234,586
516,86386,586
517,86535,586
518,86687,586
519,86839,586
520,86987,586
521,87138,586
522,87288,586
523,87440,586
524,87592,586
525,87744,586
526,87893,586
527,88045,586
528,88197,586
529,88345,586
530,88497,586
531,88649,586
532,88801,586
533,88950,586
534,89102,586
535,89254,586
536,89405,587
537,89557,587
538,89708,587
539,89860,587
540,90009,587
541,90161,588
542,90313,588
543,90464,588
544,90616,588
545,90767,588
546,90919,588
547,91071,588
548,91223,588
549,91375,588
550,91527,588
551,91679,588
552,91831,588
553,91980,588
554,92132,588
555,92283,588
556,92435,588
557,92586,588
558,92738,588
559,92889,589
560,93040,589
561,93192,589
562,93344,589
563,93496,589
564,93647,589
565,93799,589
566,93951,589
567,94102,589
568,94254,589
569,94406,589
570,94558,589
571,94710,589
572,94860,589
573,95010,589
574,95162,589
575,95311,589
576,95459,589
577,95610,589
578,95762,589
579,95914,589
580,96065,589
581,96217,589
582,96367,589
583,96518,589
584,96669,589
585,96821,589
586,96973,589
587,97125,589
588,97277,589
589,97426,589
590,97577,589
591,97729,589
592,97880,589
593,98032,589
594,98183,589
595,98335,589
596,98486,589
597,98638,589
598,98790,589
599,98942,589
600,99093,589
601,99245,589
602,99395,589
603,99546,589
604,99698,589
605,99849,589
606,100000,589
