,nfe,improvements
0,100,18
1,200,27
2,300,31
3,400,35
4,500,39
5,599,42
6,695,47
7,795,54
8,895,58
9,995,64
10,1095,67
11,1195,72
12,1295,78
13,1395,84
14,1493,91
15,1590,99
16,1689,107
17,1788,111
18,1887,113
19,1987,115
20,2087,122
21,2187,126
22,2287,131
23,2387,142
24,2487,147
25,2587,155
26,2687,157
27,2787,161
28,2886,164
29,2986,166
30,3085,168
31,3184,172
32,3284,174
33,3384,177
34,3484,179
35,3584,180
36,3684,183
37,3784,185
38,3883,188
39,3983,195
40,4082,197
41,4181,201
42,4280,204
43,4380,210
44,4479,212
45,4578,216
46,4678,217
47,4776,220
48,4875,224
49,4975,228
50,5074,232
51,5172,235
52,5272,238
53,5372,243
54,5472,245
55,5572,250
56,5672,252
57,5772,256
58,5871,256
59,5971,260
60,6070,261
61,6170,264
62,6270,265
63,6370,271
64,6470,273
65,6570,276
66,6668,276
67,6767,276
68,6867,279
69,6965,280
70,7065,280
71,7165,281
72,7265,281
73,7364,283
74,7464,283
75,7562,285
76,7660,285
77,7760,286
78,7858,289
79,7956,292
80,8056,294
81,8156,294
82,8255,297
83,8352,297
84,8452,298
85,8552,299
86,8652,302
87,8750,304
88,8850,304
89,8950,306
90,9050,307
91,9149,308
92,9249,312
93,9348,312
94,9448,313
95,9548,313
96,9648,313
97,9745,314
98,9845,317
99,10092,318
100,10287,323
101,10482,327
102,10676,329
103,10870,333
104,11064,341
105,11258,344
106,11451,347
107,11647,348
108,11841,349
109,12036,351
110,12231,351
111,12425,353
112,12618,355
113,12813,356
114,13009,357
115,13204,358
116,13400,360
117,13595,361
118,13790,362
119,13981,363
120,14175,364
121,14369,365
122,14564,366
123,14760,367
124,14956,367
125,15151,369
126,15346,372
127,15541,372
128,15735,372
129,15931,374
130,16127,376
131,16321,376
132,16516,377
133,16707,377
134,16903,377
135,17098,377
136,17294,377
137,17489,378
138,17679,379
139,17875,379
140,18071,379
141,18266,380
142,18461,381
143,18657,381
144,18852,381
145,19046,382
146,19242,382
147,19435,382
148,19631,382
149,19826,383
150,20022,383
151,20218,384
152,20412,384
153,20608,384
154,20803,385
155,20998,385
156,21193,386
157,21388,386
158,21583,386
159,21777,387
160,21973,388
161,22169,388
162,22365,388
163,22560,388
164,22755,388
165,22951,389
166,23147,389
167,23341,389
168,23533,389
169,23727,391
170,23923,391
171,24118,391
172,24312,391
173,24507,391
174,24701,391
175,24896,391
176,25092,391
177,25288,392
178,25483,392
179,25679,392
180,25875,392
181,26070,393
182,26265,394
183,26461,394
184,26656,396
185,26852,396
186,27048,396
187,27244,396
188,27438,396
189,27633,396
190,27828,396
191,28024,396
192,28218,396
193,28412,398
194,28604,399
195,28798,399
196,28994,400
197,29188,402
198,29377,403
199,29573,403
200,29768,403
201,29964,403
202,30158,404
203,30352,405
204,30545,405
205,30739,406
206,30935,406
207,31127,406
208,31321,407
209,31516,407
210,31711,407
211,31907,407
212,32102,407
213,32298,407
214,32491,407
215,32687,407
216,32881,407
217,33074,407
218,33270,408
219,33463,408
220,33659,408
221,33853,409
222,34047,409
223,34241,409
224,34434,410
225,34630,410
226,34825,411
227,35019,411
228,35215,411
229,35410,411
230,35605,411
231,35801,411
232,35994,411
233,36188,411
234,36383,411
235,36579,411
236,36774,411
237,36969,411
238,37165,411
239,37360,411
240,37555,411
241,37746,412
242,37941,412
243,38136,412
244,38332,412
245,38523,412
246,38715,413
247,38909,413
248,39102,413
249,39298,413
250,39491,413
251,39687,413
252,39883,413
253,40078,413
254,40272,414
255,40468,415
256,40663,415
257,40853,415
258,41049,415
259,41245,415
260,41441,415
261,41635,416
262,41828,416
263,42024,416
264,42219,416
265,42415,417
266,42610,417
267,42806,417
268,43002,417
269,43198,417
270,43394,417
271,43590,417
272,43785,417
273,43979,417
274,44173,417
275,44366,417
276,44561,417
277,44754,417
278,44949,417
279,45143,418
280,45337,418
281,45530,419
282,45724,420
283,45915,420
284,46111,421
285,46306,421
286,46502,421
287,46697,421
288,46892,421
289,47082,421
290,47278,421
291,47473,421
292,47669,421
293,47863,422
294,48058,422
295,48251,422
296,48447,423
297,48642,423
298,48838,423
299,49145,423
300,49293,423
301,49441,424
302,49589,426
303,49736,428
304,49883,429
305,50031,430
306,50177,430
307,50325,431
308,50471,431
309,50619,433
310,50767,434
311,50915,434
312,51062,434
313,51210,434
314,51356,434
315,51502,434
316,51650,434
317,51798,435
318,51944,436
319,52092,436
320,52240,436
321,52387,436
322,52535,436
323,52681,436
324,52829,436
325,52977,437
326,53124,438
327,53268,438
328,53414,438
329,53560,438
330,53708,438
331,53854,438
332,54002,438
333,54150,438
334,54298,438
335,54446,438
336,54594,439
337,54741,439
338,54889,439
339,55037,439
340,55184,440
341,55332,440
342,55480,440
343,55627,440
344,55773,440
345,55921,440
346,56066,440
347,56213,440
348,56359,440
349,56507,440
350,56655,440
351,56801,440
352,56949,441
353,57096,441
354,57244,441
355,57390,441
356,57537,441
357,57685,441
358,57833,441
359,57981,441
360,58127,441
361,58275,441
362,58423,441
363,58571,441
364,58719,441
365,58865,441
366,59012,441
367,59158,441
368,59305,441
369,59452,441
370,59599,441
371,59746,442
372,59893,442
373,60040,442
374,60188,442
375,60335,442
376,60482,442
377,60628,442
378,60776,442
379,60924,442
380,61072,442
381,61219,442
382,61364,442
383,61511,442
384,61659,442
385,61807,442
386,61955,442
387,62102,442
388,62249,442
389,62397,442
390,62543,442
391,62690,442
392,62838,442
393,62986,442
394,63132,442
395,63280,442
396,63428,442
397,63576,442
398,63723,442
399,63871,442
400,64018,442
401,64165,442
402,64313,442
403,64460,442
404,64607,442
405,64753,442
406,64900,442
407,65048,442
408,65196,442
409,65343,442
410,65491,442
411,65639,442
412,65786,442
413,65933,442
414,66081,442
415,66229,442
416,66377,443
417,66523,443
418,66671,443
419,66819,443
420,66965,443
421,67113,443
422,67261,443
423,67409,443
424,67556,443
425,67703,443
426,67850,443
427,67998,443
428,68144,443
429,68290,443
430,68438,443
431,68586,443
432,68730,443
433,68878,443
434,69026,443
435,69173,443
436,69321,443
437,69467,443
438,69614,443
439,69762,443
440,69909,443
441,70057,443
442,70204,443
443,70351,443
444,70498,443
445,70646,443
446,70793,443
447,70940,443
448,71087,443
449,71234,443
450,71382,444
451,71529,444
452,71677,444
453,71823,444
454,71970,444
455,72117,444
456,72264,444
457,72412,444
458,72560,445
459,72705,445
460,72852,445
461,73000,446
462,73148,446
463,73296,446
464,73442,446
465,73587,446
466,73735,446
467,73883,446
468,74031,446
469,74179,446
470,74325,446
471,74468,446
472,74615,446
473,74763,446
474,74909,446
475,75057,446
476,75203,446
477,75351,446
478,75497,446
479,75644,446
480,75792,446
481,75940,446
482,76088,446
483,76235,446
484,76383,446
485,76528,446
486,76675,446
487,76822,446
488,76969,446
489,77114,446
490,77259,446
491,77407,446
492,77553,446
493,77701,446
494,77849,446
495,77997,446
496,78145,446
497,78291,446
498,78439,446
499,78587,446
500,78735,446
501,78882,446
502,79030,446
503,79177,446
504,79325,446
505,79472,446
506,79618,446
507,79764,446
508,79912,446
509,80060,447
510,80208,447
511,80356,449
512,80504,449
513,80651,449
514,80796,449
515,80944,449
516,81090,449
517,81238,449
518,81386,449
519,81534,449
520,81681,449
521,81829,449
522,81977,449
523,82125,449
524,82271,449
525,82419,449
526,82566,449
527,82714,449
528,82862,449
529,83007,449
530,83154,449
531,83302,449
532,83450,449
533,83598,449
534,83746,449
535,83894,449
536,84041,449
537,84188,449
538,84335,449
539,84483,449
540,84631,449
541,84778,449
542,84926,449
543,85074,449
544,85222,449
545,85370,449
546,85518,449
547,85664,449
548,85811,449
549,85959,449
550,86106,449
551,86254,449
552,86399,449
553,86546,449
554,86694,449
555,86842,449
556,86989,449
557,87134,449
558,87282,449
559,87426,449
560,87573,449
561,87721,449
562,87869,449
563,88017,449
564,88165,449
565,88313,449
566,88461,449
567,88609,449
568,88757,449
569,88905,449
570,89053,449
571,89200,449
572,89348,449
573,89496,449
574,89642,449
575,89787,449
576,89935,449
577,90082,449
578,90230,449
579,90378,450
580,90526,450
581,90674,450
582,90822,450
583,90970,450
584,91117,450
585,91263,450
586,91411,450
587,91559,450
588,91706,450
589,91854,450
590,92002,450
591,92148,450
592,92296,450
593,92444,450
594,92592,450
595,92735,450
596,92881,450
597,93029,450
598,93174,450
599,93322,450
600,93468,450
