,nfe,improvements
0,100,38
1,200,60
2,300,78
3,400,105
4,500,126
5,600,140
6,700,159
7,800,172
8,900,186
9,1000,198
10,1100,211
11,1200,221
12,1300,238
13,1400,250
14,1500,264
15,1600,279
16,1700,290
17,1800,305
18,1900,316
19,2000,323
20,2100,333
21,2200,339
22,2300,352
23,2400,362
24,2500,374
25,2600,384
26,2700,397
27,2800,409
28,2900,419
29,3000,430
30,3100,441
31,3200,449
32,3300,458
33,3400,470
34,3500,476
35,3600,482
36,3700,488
37,3800,499
38,3900,512
39,4000,521
40,4100,529
41,4200,540
42,4300,550
43,4400,556
44,4500,569
45,4600,577
46,4700,588
47,4800,599
48,4900,610
49,5000,620
50,5100,629
51,5200,634
52,5300,646
53,5400,656
54,5500,665
55,5600,676
56,5700,685
57,5800,692
58,5900,701
59,6000,707
60,6100,715
61,6200,724
62,6300,735
63,6400,745
64,6500,750
65,6600,760
66,6700,770
67,6800,780
68,6900,788
69,7000,799
70,7100,804
71,7200,816
72,7300,826
73,7400,834
74,7500,845
75,7600,855
76,7700,861
77,7800,874
78,7900,885
79,8000,892
80,8100,902
81,8200,912
82,8300,926
83,8400,932
84,8500,939
85,8600,944
86,8700,955
87,8800,964
88,8900,978
89,9000,986
90,9100,997
91,9200,1004
92,9300,1013
93,9400,1015
94,9500,1022
95,9600,1028
96,9700,1035
97,9800,1041
98,9900,1047
99,10618,1052
