,nfe,improvements
0,100,16
1,200,23
2,300,39
3,400,58
4,500,74
5,600,93
6,700,119
7,800,142
8,900,164
9,1000,186
10,1100,203
11,1200,220
12,1300,234
13,1400,243
14,1500,251
15,1600,265
16,1700,274
17,1800,285
18,1900,293
19,2000,302
20,2100,314
21,2200,319
22,2300,331
23,2400,345
24,2500,351
25,2600,357
26,2700,367
27,2800,380
28,2900,387
29,3000,391
30,3100,403
31,3200,409
32,3300,423
33,3400,434
34,3500,446
35,3600,453
36,3700,458
37,3800,460
38,3900,467
39,4000,475
40,4100,482
41,4200,487
42,4300,489
43,4400,493
44,4500,499
45,4600,503
46,4700,510
47,4800,520
48,4900,531
49,5000,536
50,5100,541
51,5200,548
52,5300,557
53,5400,567
54,5500,574
55,5600,578
56,5700,585
57,5800,593
58,5900,602
59,6000,612
60,6100,624
61,6200,634
62,6300,644
63,6400,651
64,6500,659
65,6600,666
66,6700,669
67,6800,680
68,6900,690
69,7000,697
70,7100,707
71,7200,713
72,7300,720
73,7400,725
74,7500,731
75,7600,737
76,7700,743
77,7800,750
78,7900,758
79,8000,759
80,8100,765
81,8200,768
82,8300,774
83,8400,775
84,8500,781
85,8600,786
86,8700,795
87,8800,799
88,8900,806
89,9000,812
90,9100,822
91,9200,828
92,9300,831
93,9400,835
94,9500,839
95,9600,847
96,9700,859
97,9800,867
98,9900,873
99,10651,878
100,11519,913
101,12387,957
102,13255,1021
103,14123,1092
104,14991,1161
105,15859,1245
106,16727,1310
107,17595,1380
108,18463,1445
109,19331,1512
110,20199,1581
111,21067,1631
112,21935,1684
113,22803,1747
114,23671,1794
115,24539,1845
116,25407,1893
117,26275,1951
118,27143,1994
119,28011,2036
120,28879,2085
121,29747,2121
122,30615,2167
123,31483,2205
124,32351,2241
125,33219,2274
126,34087,2310
127,34955,2354
128,35823,2395
129,36691,2447
130,37559,2488
131,38427,2517
132,39295,2558
133,40163,2596
134,41031,2639
135,41899,2677
136,42767,2719
137,43635,2772
138,44503,2812
139,45371,2851
140,46239,2892
141,47107,2939
142,47975,2977
143,48843,3012
144,49711,3054
145,50579,3084
