,nfe,improvements
0,100,23
1,200,37
2,300,50
3,400,67
4,500,91
5,600,102
6,700,119
7,800,133
8,900,146
9,1000,167
10,1100,181
11,1200,193
12,1300,203
13,1400,211
14,1500,218
15,1600,227
16,1700,237
17,1800,243
18,1900,248
19,2000,254
20,2100,259
21,2200,265
22,2300,269
23,2400,276
24,2500,281
25,2600,289
26,2700,293
27,2800,300
28,2900,305
29,3000,309
30,3100,314
31,3200,317
32,3300,324
33,3400,330
34,3500,332
35,3600,337
36,3700,341
37,3800,345
38,3900,348
39,4000,353
40,4100,357
41,4200,366
42,4300,371
43,4400,372
44,4500,375
45,4600,382
46,4700,387
47,4800,394
48,4900,398
49,5000,399
50,5100,404
51,5200,413
52,5300,417
53,5400,423
54,5500,430
55,5600,434
56,5700,436
57,5800,444
58,5900,449
59,6000,449
60,6100,451
61,6200,454
62,6300,457
63,6400,462
64,6500,465
65,6600,466
66,6700,466
67,6800,470
68,6900,473
69,7000,475
70,7100,480
71,7200,482
72,7300,487
73,7400,489
74,7500,492
75,7600,493
76,7700,497
77,7800,497
78,7900,501
79,8000,504
80,8100,508
81,8200,509
82,8300,509
83,8400,515
84,8500,519
85,8600,522
86,8700,526
87,8800,529
88,8900,534
89,9000,536
90,9100,540
91,9200,543
92,9300,546
93,9400,548
94,9500,549
95,9600,552
96,9700,552
97,9800,556
98,9900,560
99,10417,565
100,10973,578
101,11529,593
102,12085,607
103,12641,625
104,13197,656
105,13753,676
106,14309,689
107,14865,711
108,15421,725
109,15977,754
110,16533,770
111,17089,786
112,17645,804
113,18201,821
114,18757,837
115,19313,854
116,19869,871
117,20425,882
118,20981,898
119,21537,912
120,22093,927
121,22649,943
122,23205,959
123,23761,985
124,24317,1005
125,24873,1021
126,25429,1041
127,25985,1054
128,26541,1071
129,27097,1084
130,27653,1102
131,28209,1111
132,28765,1125
133,29321,1142
134,29877,1154
135,30433,1166
136,30989,1184
137,31545,1198
138,32101,1209
139,32657,1216
140,33213,1225
141,33769,1230
142,34325,1240
143,34881,1254
144,35437,1263
145,35993,1274
146,36549,1279
147,37105,1291
148,37661,1302
149,38217,1313
150,38773,1321
151,39329,1328
152,39885,1335
153,40441,1340
154,40997,1351
155,41553,1358
156,42109,1370
157,42665,1383
158,43221,1392
159,43777,1403
160,44333,1413
161,44889,1424
162,45445,1433
163,46001,1443
164,46557,1456
165,47113,1470
166,47669,1482
167,48225,1493
168,48781,1499
169,49337,1505
170,49893,1518
171,50449,1526
172,51005,1533
173,51561,1541
174,52117,1550
175,52673,1560
176,53229,1570
177,53785,1574
178,54341,1582
179,54897,1587
180,55453,1597
181,56009,1601
182,56565,1608
183,57121,1617
184,57677,1624
185,58233,1635
186,58789,1639
187,59345,1647
188,59901,1653
189,60457,1663
190,61013,1668
191,61569,1680
192,62125,1682
193,62681,1690
194,63237,1696
195,63793,1707
196,64349,1718
197,64905,1728
198,65461,1737
199,67232,1747
200,68852,1763
201,70472,1779
202,72092,1803
203,73712,1832
204,75332,1870
205,76952,1915
206,78572,1972
207,80192,2026
208,81812,2082
209,83432,2135
210,85052,2193
211,86672,2251
212,88292,2305
213,89912,2364
214,91532,2414
215,93152,2452
216,94772,2491
217,96392,2532
218,98012,2569
219,99632,2609
220,101252,2634
