,nfe,improvements
0,100,29
1,200,42
2,300,62
3,400,93
4,500,119
5,600,138
6,700,162
7,800,186
8,900,200
9,1000,217
10,1100,224
11,1200,236
12,1300,243
13,1400,255
14,1500,262
15,1600,268
16,1700,277
17,1800,286
18,1900,294
19,2000,301
20,2100,309
21,2200,319
22,2300,321
23,2400,331
24,2500,335
25,2600,340
26,2700,341
27,2800,345
28,2900,351
29,3000,355
30,3100,366
31,3200,371
32,3300,378
33,3400,385
34,3500,394
35,3600,402
36,3700,407
37,3800,414
38,3900,419
39,4000,429
40,4100,434
41,4200,440
42,4300,447
43,4400,454
44,4500,461
45,4600,467
46,4700,469
47,4800,471
48,4900,477
49,5000,485
50,5100,488
51,5200,493
52,5300,499
53,5400,503
54,5500,510
55,5600,514
56,5700,522
57,5800,524
58,5900,528
59,6000,533
60,6100,541
61,6200,545
62,6300,548
63,6400,552
64,6500,557
65,6600,560
66,6700,564
67,6800,569
68,6900,573
69,7000,577
70,7100,580
71,7200,583
72,7300,586
73,7400,595
74,7500,597
75,7600,600
76,7700,604
77,7800,608
78,7900,616
79,8000,622
80,8100,624
81,8200,631
82,8300,634
83,8400,644
84,8500,650
85,8600,653
86,8700,659
87,8800,663
88,8900,665
89,9000,668
90,9100,672
91,9200,674
92,9300,678
93,9400,682
94,9500,688
95,9600,691
96,9700,693
97,9800,695
98,9900,699
99,10528,707
100,11232,724
101,11936,751
102,12640,796
103,13344,829
104,14048,858
105,14752,890
106,15456,926
107,16160,976
108,16864,1012
109,17568,1064
110,18272,1097
111,18976,1133
112,19680,1159
113,20384,1189
114,21088,1223
115,21792,1243
116,22496,1271
117,23200,1292
118,23904,1320
119,24608,1347
120,25312,1369
121,26016,1395
122,26720,1421
123,27424,1451
124,28128,1472
125,28832,1500
126,29536,1515
127,30240,1542
128,30944,1558
129,31648,1581
130,32352,1597
131,33056,1616
132,33760,1631
133,34464,1649
134,35168,1673
135,35872,1692
136,36576,1710
137,37280,1735
138,37984,1763
139,38688,1787
140,39392,1799
141,40096,1817
142,40800,1828
143,41504,1842
144,42208,1853
145,42912,1860
146,43616,1868
147,44320,1882
148,45024,1896
149,45728,1908
150,46432,1929
151,47136,1940
152,47840,1951
153,48544,1971
154,49248,1989
155,49952,2002
156,50656,2015
