,nfe,improvements
0,100,20
1,200,27
2,300,34
3,400,47
4,500,58
5,600,82
6,700,100
7,800,116
8,900,132
9,1000,148
10,1100,162
11,1200,182
12,1300,200
13,1400,216
14,1500,237
15,1600,255
16,1700,271
17,1800,290
18,1900,304
19,2000,311
20,2100,319
21,2200,326
22,2300,338
23,2400,347
24,2500,357
25,2600,371
26,2700,381
27,2800,391
28,2900,406
29,3000,417
30,3100,430
31,3200,438
32,3300,446
33,3400,451
34,3500,461
35,3600,466
36,3700,472
37,3800,478
38,3900,485
39,4000,491
40,4100,495
41,4200,504
42,4300,512
43,4400,516
44,4500,526
45,4600,534
46,4700,538
47,4800,548
48,4900,557
49,5000,558
50,5100,565
51,5200,573
52,5300,577
53,5400,583
54,5500,587
55,5600,590
56,5700,592
57,5800,599
58,5900,602
59,6000,604
60,6100,608
61,6200,611
62,6300,618
63,6400,622
64,6500,624
65,6600,631
66,6700,635
67,6800,642
68,6900,643
69,7000,647
70,7100,652
71,7200,656
72,7300,659
73,7400,665
74,7500,671
75,7600,672
76,7700,681
77,7800,685
78,7900,694
79,8000,699
80,8100,701
81,8200,706
82,8300,709
83,8400,713
84,8500,715
85,8600,716
86,8700,723
87,8800,725
88,8900,728
89,9000,731
90,9100,734
91,9200,739
92,9300,741
93,9400,743
94,9500,745
95,9600,747
96,9700,748
97,9800,751
98,9900,758
99,10327,761
100,10763,775
101,11199,792
102,11635,821
103,12071,847
104,12507,870
105,12943,899
106,13379,924
107,13815,947
108,14251,973
109,14687,997
110,15123,1025
111,15559,1042
112,15995,1058
113,16431,1078
114,16867,1100
115,17303,1121
116,17739,1142
117,18175,1157
118,18611,1179
119,19047,1199
120,19483,1210
121,19919,1224
122,20355,1241
123,20791,1262
124,21227,1280
125,21663,1295
126,22099,1315
127,22535,1327
128,22971,1341
129,23407,1357
130,23843,1373
131,24279,1388
132,24715,1406
133,25151,1419
134,25587,1436
135,26023,1448
136,26459,1465
137,26895,1483
138,27331,1501
139,27767,1519
140,28203,1543
141,28639,1559
142,29075,1572
143,29511,1586
144,29947,1603
145,30383,1616
146,30819,1633
147,31255,1642
148,31691,1655
149,32127,1669
150,32563,1683
151,32999,1694
152,33435,1710
153,33871,1724
154,34307,1736
155,34743,1751
156,35179,1761
157,35615,1775
158,36051,1794
159,36487,1807
160,36923,1820
161,37359,1843
162,37795,1861
163,38231,1886
164,38667,1906
165,39103,1923
166,39539,1942
167,39975,1960
168,40411,1972
169,40847,1989
170,41283,2003
171,41719,2020
172,42155,2032
173,42591,2041
174,43027,2057
175,43463,2072
176,43899,2087
177,44335,2104
178,44771,2128
179,45207,2144
180,45643,2161
181,46079,2173
182,46515,2188
183,46951,2206
184,47387,2216
185,47823,2234
186,48259,2249
187,48695,2264
188,49131,2271
189,49567,2288
190,50003,2302
191,50439,2317
192,50875,2328
193,51311,2339
194,51747,2350
195,52183,2361
196,52619,2371
197,53055,2384
198,53491,2398
199,55079,2408
200,56615,2459
201,58151,2544
202,59687,2607
203,61223,2687
204,62759,2760
205,64295,2831
206,65831,2938
207,67367,3029
208,68903,3142
209,70439,3235
210,71975,3326
211,73511,3407
212,75047,3479
213,76583,3533
214,78119,3598
215,79655,3646
216,81191,3710
217,82727,3762
218,84263,3820
219,85799,3876
220,87335,3936
221,88871,3987
222,90407,4046
223,91943,4100
224,93479,4150
225,95015,4186
226,96551,4236
227,98087,4285
228,99623,4316
229,101159,4361
