,nfe,improvements
0,100,17
1,200,36
2,300,56
3,400,76
4,500,93
5,600,111
6,700,136
7,800,161
8,900,179
9,1000,199
10,1100,216
11,1200,232
12,1300,243
13,1400,256
14,1500,269
15,1600,275
16,1700,283
17,1800,293
18,1900,302
19,2000,313
20,2100,324
21,2200,330
22,2300,337
23,2400,341
24,2500,350
25,2600,358
26,2700,369
27,2800,375
28,2900,379
29,3000,383
30,3100,388
31,3200,397
32,3300,404
33,3400,405
34,3500,408
35,3600,413
36,3700,419
37,3800,423
38,3900,428
39,4000,434
40,4100,442
41,4200,449
42,4300,457
43,4400,463
44,4500,468
45,4600,475
46,4700,482
47,4800,483
48,4900,491
49,5000,496
50,5100,500
51,5200,504
52,5300,508
53,5400,511
54,5500,514
55,5600,519
56,5700,525
57,5800,531
58,5900,535
59,6000,539
60,6100,544
61,6200,547
62,6300,551
63,6400,557
64,6500,558
65,6600,562
66,6700,566
67,6800,569
68,6900,572
69,7000,576
70,7100,581
71,7200,590
72,7300,599
73,7400,601
74,7500,601
75,7600,604
76,7700,605
77,7800,606
78,7900,607
79,8000,611
80,8100,611
81,8200,614
82,8300,614
83,8400,615
84,8500,617
85,8600,620
86,8700,620
87,8800,625
88,8900,629
89,9000,631
90,9100,632
91,9200,633
92,9300,634
93,9400,637
94,9500,637
95,9600,640
96,9700,641
97,9800,646
98,9900,650
99,10543,651
100,11267,675
101,11991,699
102,12715,737
103,13439,775
104,14163,811
105,14887,851
106,15611,882
107,16335,924
108,17059,944
109,17783,973
110,18507,999
111,19231,1028
112,19955,1058
113,20679,1082
114,21403,1101
115,22127,1123
116,22851,1144
117,23575,1164
118,24299,1190
119,25023,1214
120,25747,1231
121,26471,1255
122,27195,1283
123,27919,1305
124,28643,1330
125,29367,1354
126,30091,1384
127,30815,1405
128,31539,1420
129,32263,1446
130,32987,1459
131,33711,1484
132,34435,1509
133,35159,1526
134,35883,1549
135,36607,1578
136,37331,1607
137,38055,1630
138,38779,1651
139,39503,1674
140,40227,1699
141,40951,1721
142,41675,1750
143,42399,1774
144,43123,1801
145,43847,1821
146,44571,1847
147,45295,1870
148,46019,1895
149,46743,1933
150,47467,1966
151,48191,1986
152,48915,2012
153,49639,2040
154,50363,2072
155,51087,2103
156,51811,2126
157,52535,2159
158,53259,2177
159,53983,2203
160,54707,2219
161,55431,2248
162,56155,2277
163,56879,2306
164,57603,2322
165,58327,2343
166,59051,2367
167,59775,2391
168,60499,2417
169,61223,2445
170,61947,2481
171,62671,2515
172,63395,2540
173,64119,2567
174,64843,2600
175,65567,2624
176,66291,2652
177,67015,2688
178,67739,2721
179,68463,2749
180,69187,2781
181,69911,2820
182,70635,2855
183,71359,2893
184,72083,2938
185,72807,2978
186,73531,3012
187,74255,3042
188,74979,3077
189,75703,3106
190,76427,3130
191,77151,3165
192,77875,3186
193,78599,3212
194,79323,3240
195,80047,3269
196,80771,3298
197,81495,3325
198,82219,3350
199,84740,3381
200,87136,3431
201,89532,3482
202,91928,3575
203,94324,3691
204,96720,3833
205,99116,3966
206,101512,4090
