,nfe,ei,seed
0,100,1.0,70
1,200,0.7144632762690023,70
2,300,0.7017863463073183,70
3,400,0.7017863463073183,70
4,500,0.7017863463073183,70
5,600,0.7017863463073183,70
6,700,0.7017863463073183,70
7,800,1.0,70
8,900,1.0,70
9,1000,1.0,70
10,1100,1.0,70
11,1200,1.0,70
12,1300,1.0,70
13,1400,1.0,70
14,1500,1.0,70
15,1600,1.0,70
16,1700,1.0,70
17,1800,1.0,70
18,1900,1.0,70
19,2000,1.0,70
20,2100,1.0,70
21,2200,1.0,70
22,2300,1.0,70
23,2400,1.0,70
24,2500,1.0,70
25,2600,1.0,70
26,2700,1.0,70
27,2800,1.0,70
28,2900,1.0,70
29,3000,1.0,70
30,3100,1.0,70
31,3200,1.0,70
32,3300,1.0,70
33,3400,1.0,70
34,3500,1.0,70
35,3600,1.0,70
36,3700,1.0,70
37,3800,1.0,70
38,3900,1.0,70
39,4000,0.6730943180703893,70
40,4100,0.6604405533622836,70
41,4200,0.6604405533622836,70
42,4300,0.6604405533622836,70
43,4400,0.6604405533622836,70
44,4500,0.6604405533622836,70
45,4600,0.6604405533622836,70
46,4700,0.6604405533622836,70
47,4800,0.6604405533622836,70
48,4900,0.6604405533622836,70
49,5000,0.6604405533622836,70
50,5100,0.6604405533622836,70
51,5200,0.6604405533622836,70
52,5300,0.6604405533622836,70
53,5400,0.6604405533622836,70
54,5500,0.6604405533622836,70
55,5600,0.6604405533622836,70
56,5700,0.6604405533622836,70
57,5800,0.6604405533622836,70
58,5900,0.6604405533622836,70
59,6000,0.6604405533622836,70
60,6100,0.6604405533622836,70
61,6200,1.0,70
62,6300,1.0,70
63,6400,1.0,70
64,6500,1.0,70
65,6600,1.0,70
66,6700,1.0,70
67,6800,1.0,70
68,6900,1.0,70
69,7000,1.0,70
70,7100,1.0,70
71,7200,1.0,70
72,7300,1.0,70
73,7400,1.0,70
74,7500,1.0,70
75,7600,1.0,70
76,7700,1.0,70
77,7800,1.0,70
78,7900,1.0,70
79,8000,1.0,70
80,8100,1.0,70
81,8200,1.0,70
82,8300,1.0,70
83,8400,1.0,70
84,8500,1.0,70
85,8600,1.0,70
86,8700,1.0,70
87,8800,1.0,70
88,8900,1.0,70
89,9000,1.0,70
90,9100,1.0,70
91,9200,1.0,70
92,9300,1.0,70
93,9400,1.0,70
94,9500,1.0,70
95,9600,1.0,70
96,9700,1.0,70
97,9800,1.0,70
98,9900,1.0,70
99,10408,1.0,70
100,10952,1.0,70
101,11496,1.0,70
102,12040,1.0,70
103,12584,1.0,70
104,13128,1.0,70
105,13672,0.6281819133384446,70
106,14216,0.6281819133384446,70
107,14760,0.6281819133384446,70
108,15304,0.6281819133384446,70
109,15848,0.6281819133384446,70
110,16392,0.6281819133384446,70
111,16936,0.6281819133384446,70
112,17480,0.6281819133384446,70
113,18024,1.0,70
114,18568,1.0,70
115,19112,1.0,70
116,19656,1.0,70
117,20200,1.0,70
118,20744,1.0,70
119,21288,0.6036648285671656,70
120,21832,0.6036648285671656,70
121,22376,0.6036648285671656,70
122,22920,0.6036648285671656,70
123,23464,0.6036648285671656,70
124,24008,0.6036648285671656,70
125,24552,0.6036648285671656,70
126,25096,0.6036648285671656,70
127,25640,0.6036648285671656,70
128,26184,0.6036648285671656,70
129,26728,0.6036648285671656,70
130,27272,0.6036648285671656,70
131,27816,0.6036648285671656,70
132,28360,0.5982805696296131,70
133,28904,0.5982805696296131,70
134,29448,0.5982805696296131,70
135,29992,0.5961043855480402,70
136,30536,0.5961043855480402,70
137,31080,0.5942924936057731,70
138,31624,0.5866092271641866,70
139,32168,0.5866092271641866,70
140,32712,0.5866092271641866,70
141,33256,0.5822839695857461,70
142,33800,0.576006998529028,70
143,34344,0.576006998529028,70
144,34888,0.576006998529028,70
145,35432,0.576006998529028,70
146,35976,0.5690316633113038,70
147,36520,0.5690316633113038,70
148,37064,0.5690316633113038,70
149,37608,0.562931002630206,70
150,38152,0.562931002630206,70
151,38696,0.562931002630206,70
152,39240,0.562931002630206,70
153,39784,0.562931002630206,70
154,40328,0.562931002630206,70
155,40872,0.562931002630206,70
156,41416,0.562931002630206,70
157,41960,0.562931002630206,70
158,42504,0.562931002630206,70
159,43048,0.562931002630206,70
160,43592,0.562931002630206,70
161,44136,0.562931002630206,70
162,44680,0.5615211363280225,70
163,45224,0.5615211363280225,70
164,45768,0.5615211363280225,70
165,46312,0.5615211363280225,70
166,46856,0.5615211363280225,70
167,47400,0.5615211363280225,70
168,47944,0.5615211363280225,70
169,48488,0.5615211363280225,70
170,49032,0.5615211363280225,70
171,49576,0.5615211363280225,70
172,50120,0.5615211363280225,70
173,50664,0.5615211363280225,70
174,51208,0.5615211363280225,70
175,51752,0.5594455011254068,70
176,52296,0.5594455011254068,70
177,52840,0.5594455011254068,70
178,53384,0.5594455011254068,70
179,53928,0.5578034555744732,70
180,54472,0.5578034555744732,70
181,55016,0.5578034555744732,70
182,55560,0.5536537545381858,70
183,56104,0.5536537545381858,70
184,56648,0.5536537545381858,70
185,57192,0.5536537545381858,70
186,57736,0.5536537545381858,70
187,58280,0.5536537545381858,70
188,58824,0.553611244885423,70
189,59368,0.553611244885423,70
190,59912,0.553611244885423,70
191,60456,0.553611244885423,70
192,61000,0.553611244885423,70
193,61544,0.553611244885423,70
194,62088,0.553611244885423,70
195,62632,0.54176602086995,70
196,63176,0.54176602086995,70
197,63720,0.54176602086995,70
198,64264,0.54176602086995,70
199,66398,0.54176602086995,70
200,68518,0.54176602086995,70
201,70638,0.54176602086995,70
202,72758,0.54176602086995,70
203,74878,0.54176602086995,70
204,76998,0.54176602086995,70
205,79118,0.54176602086995,70
206,81238,0.54176602086995,70
207,83358,0.54176602086995,70
208,85478,0.54176602086995,70
209,87598,0.54176602086995,70
210,89718,0.54176602086995,70
211,91838,0.54176602086995,70
212,93958,0.54176602086995,70
213,96078,0.54176602086995,70
214,98198,0.5381004701788783,70
215,100318,0.5381004352845028,70
216,102438,0.5381004352845028,70
217,104558,0.5381004352845028,70
218,106678,0.5381005703922563,70
219,108798,0.5314633189999277,70
220,110918,0.5314633189999277,70
221,113038,0.5314633189999277,70
222,115158,0.5314633189999277,70
223,117278,0.5314616483252088,70
224,119398,0.5314616483252088,70
225,121518,0.5314616483252088,70
226,123638,0.5314616483252088,70
227,125758,0.5314616483252088,70
228,127878,0.5314616483252088,70
229,129998,0.5314616483252088,70
230,132118,0.5314616483252088,70
231,134238,0.5314616483252088,70
232,136358,0.5314616483252088,70
233,138478,0.5314616483252088,70
234,140598,0.5314616483252088,70
235,142718,0.5314616483252088,70
236,144838,0.5314616483252088,70
237,146958,0.5314616483252088,70
238,149078,0.5314616483252088,70
239,151198,0.5314616483252088,70
240,153318,0.5314616483252088,70
241,155438,0.5314616483252088,70
242,157558,0.5314616483252088,70
243,159678,0.5345451658863059,70
244,161798,0.5345451658863059,70
245,163918,0.5345451658863059,70
246,166038,0.5345451658863059,70
247,168158,0.5345451658863059,70
248,170278,0.5345451658863059,70
249,172398,0.5345451658863059,70
250,174518,0.5345451658863059,70
251,176638,0.5323421873605048,70
252,178758,0.5323421873605048,70
253,180878,0.5323421873605048,70
254,182998,0.5323421873605048,70
255,185118,0.5323421873605048,70
256,187238,0.5323421873605048,70
257,189358,0.5323421873605048,70
