,nfe,hypervolume,seed
0,100,0.2671660120558058,70
1,200,0.2671660120558058,70
2,300,0.3638182573558285,70
3,400,0.32899720728401916,70
4,500,0.3306633063092896,70
5,600,0.3306633063092896,70
6,700,0.3305094125862743,70
7,800,0.3305094125862743,70
8,900,0.3305094125862743,70
9,1000,0.3305094125862743,70
10,1100,0.3344479086179946,70
11,1200,0.3344479086179946,70
12,1300,0.3344479086179946,70
13,1400,0.3344479086179946,70
14,1500,0.3344479086179946,70
15,1600,0.3344479086179946,70
16,1700,0.3344479086179946,70
17,1800,0.3344479086179946,70
18,1900,0.3344479086179946,70
19,2000,0.3344479086179946,70
20,2100,0.3341604258723615,70
21,2200,0.3341604258723615,70
22,2300,0.3341604258723615,70
23,2400,0.3341604258723615,70
24,2500,0.3341604258723615,70
25,2600,0.3341604258723615,70
26,2700,0.3341604258723615,70
27,2800,0.3341604258723615,70
28,2900,0.3341604258723615,70
29,3000,0.3341604258723615,70
30,3100,0.3341604258723615,70
31,3200,0.3341604258723615,70
32,3300,0.43242725882104993,70
33,3400,0.4338191264165616,70
34,3500,0.4338191264165616,70
35,3600,0.4338191264165616,70
36,3700,0.4338191264165616,70
37,3800,0.4338191264165616,70
38,3900,0.4338191264165616,70
39,4000,0.43242725882104993,70
40,4100,0.43242725882104993,70
41,4200,0.4323189618487475,70
42,4300,0.4323189618487475,70
43,4400,0.4323189618487475,70
44,4500,0.4323189618487475,70
45,4600,0.4323189618487475,70
46,4700,0.4403234754380344,70
47,4800,0.4403234754380344,70
48,4900,0.4403234754380344,70
49,5000,0.4403234754380344,70
50,5100,0.4403234754380344,70
51,5200,0.4323189618487475,70
52,5300,0.34824863987025784,70
53,5400,0.34824863987025784,70
54,5500,0.34824863987025784,70
55,5600,0.34824863987025784,70
56,5700,0.34824863987025784,70
57,5800,0.34824863987025784,70
58,5900,0.34824863987025784,70
59,6000,0.34824863987025784,70
60,6100,0.34824863987025784,70
61,6200,0.34824863987025784,70
62,6300,0.34824863987025784,70
63,6400,0.34824863987025784,70
64,6500,0.34824863987025784,70
65,6600,0.3494162357377318,70
66,6700,0.375,70
67,6800,0.375,70
68,6900,0.375,70
69,7000,0.375,70
70,7100,0.375,70
71,7200,0.375,70
72,7300,0.375,70
73,7400,0.375,70
74,7500,0.375,70
75,7600,0.375,70
76,7700,0.375,70
77,7800,0.375,70
78,7900,0.375,70
79,8000,0.375,70
80,8100,0.371574232297935,70
81,8200,0.371574232297935,70
82,8300,0.371574232297935,70
83,8400,0.371574232297935,70
84,8500,0.371574232297935,70
85,8600,0.371574232297935,70
86,8700,0.371574232297935,70
87,8800,0.371574232297935,70
88,8900,0.36530349695983017,70
89,9000,0.36530349695983017,70
90,9100,0.36530349695983017,70
91,9200,0.36530349695983017,70
92,9300,0.36530349695983017,70
93,9400,0.36530349695983017,70
94,9500,0.36530349695983017,70
95,9600,0.36530349695983017,70
96,9700,0.36530349695983017,70
97,9800,0.37500000000000044,70
98,9900,0.37500000000000044,70
99,10276,0.37500000000000044,70
100,10644,0.37500000000000044,70
101,11012,0.37500000000000044,70
102,11380,0.37500000000000044,70
103,11748,0.37500000000000044,70
104,12116,0.37500000000000044,70
105,12484,0.37500000000000044,70
106,12852,0.37500000000000044,70
107,13220,0.37500000000000044,70
108,13588,0.37500000000000044,70
109,13956,0.36910969258211673,70
110,14324,0.36910969258211673,70
111,14692,0.36910969258211673,70
112,15060,0.36910969258211673,70
113,15428,0.36910969258211673,70
114,15796,0.3615911570264369,70
115,16164,0.3615911570264369,70
116,16532,0.3615911570264369,70
117,16900,0.3615911570264369,70
118,17268,0.35078353813509766,70
119,17636,0.35078353813509766,70
120,18004,0.35078353813509766,70
121,18372,0.35078353813509766,70
122,18740,0.35078353813509766,70
123,19108,0.35078353813509766,70
124,19476,0.35078353813509766,70
125,19844,0.35078353813509766,70
126,20212,0.35078353813509766,70
127,20580,0.35078353813509766,70
128,20948,0.35078353813509766,70
129,21316,0.35078353813509766,70
130,21684,0.35078353813509766,70
131,22052,0.35078353813509766,70
132,22420,0.35078353813509766,70
133,22788,0.35078353813509766,70
134,23156,0.35078353813509766,70
135,23524,0.42441267780606784,70
136,23892,0.42441267780606784,70
137,24260,0.28319624224920836,70
138,24628,0.3589408719044288,70
139,24996,0.375,70
140,25364,0.375,70
141,25732,0.375,70
142,26100,0.375,70
143,26468,0.5000000000000004,70
144,26836,0.5000000000000004,70
145,27204,0.5000000000000004,70
146,27572,0.5000000000000004,70
147,27940,0.5000000000000004,70
148,28308,0.5000000000000004,70
149,28676,0.5000000000000004,70
150,29044,0.2920590667066473,70
151,29412,0.2920590667066473,70
152,29780,0.2920590667066473,70
153,30148,0.2920590667066473,70
154,30516,0.25229860212280714,70
155,30884,0.25229860212280714,70
156,31252,0.25229860212280714,70
157,31620,0.25229860212280714,70
158,31988,0.3375625092910977,70
159,32356,0.3375625092910977,70
160,32724,0.25229860212280714,70
161,33092,0.2918511223650045,70
162,33460,0.3569255279772602,70
163,33828,0.3569255279772602,70
164,34196,0.3569255279772602,70
165,34564,0.3569255279772602,70
166,34932,0.3569255279772602,70
167,35300,0.3569255279772602,70
168,35668,0.3569255279772602,70
169,36036,0.3569255279772602,70
170,36404,0.3569255279772602,70
171,36772,0.340411665246838,70
172,37140,0.340411665246838,70
173,37508,0.340411665246838,70
174,37876,0.340411665246838,70
175,38244,0.32250036286425776,70
176,38612,0.32250036286425776,70
177,38980,0.32250036286425776,70
178,39348,0.32250036286425776,70
179,39716,0.32250036286425776,70
180,40084,0.32250036286425776,70
181,40452,0.32250036286425776,70
182,40820,0.32250036286425776,70
183,41188,0.34481160165828584,70
184,41556,0.34481160165828584,70
185,41924,0.34481160165828584,70
186,42292,0.5,70
187,42660,0.5,70
188,43028,0.5,70
189,43396,0.5,70
190,43764,0.5,70
191,44132,0.5,70
192,44500,0.5,70
193,44868,0.25000000000000044,70
194,45236,0.25000000000000044,70
195,45604,0.25000000000000044,70
196,45972,0.25000000000000044,70
197,46340,0.25000000000000044,70
198,46708,0.25000000000000044,70
199,47910,0.25000000000000044,70
200,49022,0.25000000000000044,70
201,50134,0.25000000000000044,70
202,51246,0.25000000000000044,70
203,52358,0.25000000000000044,70
204,53470,0.25,70
205,54582,0.25000000000000044,70
206,55694,0.25,70
207,56806,0.25,70
208,57918,0.25,70
209,59030,0.2449133020188765,70
210,60142,0.25000000000000044,70
211,61254,0.25000000000000044,70
212,62366,0.25000000000000044,70
213,63478,0.32222928891827707,70
214,64590,0.25000000000000044,70
215,65702,0.25000000000000044,70
216,66814,0.25000000000000044,70
217,67926,0.25000000000000044,70
218,69038,0.25000000000000044,70
219,70150,0.25000000000000044,70
220,71262,0.25000000000000044,70
221,72374,0.2518371982405698,70
222,73486,0.2518371982405698,70
223,74598,0.2518371982405698,70
224,75710,0.2518371982405698,70
225,76822,0.2518371982405698,70
226,77934,0.2518371982405698,70
227,79046,0.2518371982405698,70
228,80158,0.2518371982405698,70
229,81270,0.29795790703249747,70
230,82382,0.29795790703249747,70
231,83494,0.29795790703249747,70
232,84606,0.29795790703249747,70
233,85718,0.29795790703249747,70
234,86830,0.29795790703249747,70
235,87942,0.29795790703249747,70
236,89054,0.29795790703249747,70
237,90166,0.29795790703249747,70
238,91278,0.29795790703249747,70
239,92390,0.29795790703249747,70
240,93502,0.29795790703249747,70
241,94614,0.29795790703249747,70
242,95726,0.29795790703249747,70
243,96838,0.29795790703249747,70
244,97950,0.29795790703249747,70
245,99062,0.29795790703249747,70
246,100174,0.29795790703249747,70
247,101286,0.29795790703249747,70
248,102398,0.29795790703249747,70
249,103510,0.29795790703249747,70
250,104622,0.29795790703249747,70
251,105734,0.29795790703249747,70
252,106846,0.29795790703249747,70
253,107958,0.29795790703249747,70
254,109070,0.29795790703249747,70
255,110182,0.29795790703249747,70
256,111294,0.29795790703249747,70
257,112406,0.29795790703249747,70
258,113518,0.29795790703249747,70
259,114630,0.29795790703249747,70
260,115742,0.29795790703249747,70
261,116854,0.29795790703249747,70
262,117966,0.29795790703249747,70
263,119078,0.29795790703249747,70
264,120190,0.29795790703249747,70
265,121302,0.29795790703249747,70
266,122414,0.29795790703249747,70
267,123526,0.29795790703249747,70
268,124638,0.29795790703249747,70
269,125750,0.29795790703249747,70
270,126862,0.29795790703249747,70
271,127974,0.29795790703249747,70
272,129086,0.29795790703249747,70
273,130198,0.29795790703249747,70
274,131310,0.29795790703249747,70
275,132422,0.29795790703249747,70
276,133534,0.29795790703249747,70
277,134646,0.29795790703249747,70
278,135758,0.29795790703249747,70
279,136870,0.29795790703249747,70
280,137982,0.29795790703249747,70
281,139094,0.29795790703249747,70
282,140206,0.32400333467975984,70
283,141318,0.32400333467975984,70
284,142430,0.32400333467975984,70
285,143542,0.32400333467975984,70
286,144654,0.37500000000000044,70
287,145766,0.37500000000000044,70
288,146878,0.37500000000000044,70
289,147990,0.37500000000000044,70
290,149102,0.37500000000000044,70
291,150214,0.37500000000000044,70
292,151326,0.37500000000000044,70
293,152438,0.37500000000000044,70
294,153550,0.37500000000000044,70
295,154662,0.37500000000000044,70
296,155774,0.37500000000000044,70
297,156886,0.37500000000000044,70
298,157998,0.37500000000000044,70
299,161480,0.37500000000000044,70
300,164640,0.37500000000000044,70
301,167800,0.37500000000000044,70
302,170960,0.37500000000000044,70
303,174120,0.37500000000000044,70
304,177280,0.37500000000000044,70
305,180440,0.3617682914679981,70
306,183600,0.25000000000000044,70
307,186760,0.5,70
308,189920,0.5,70
309,193080,0.25000000000000044,70
310,196240,0.37500000000000044,70
311,199400,0.37500000000000044,70
312,202560,0.37500000000000044,70
313,205720,0.25000000000000044,70
314,208880,0.25000000000000044,70
315,212040,0.25000000000000044,70
316,215200,0.25000000000000044,70
317,218360,0.25000000000000044,70
318,221520,0.25000000000000044,70
319,224680,0.25000000000000044,70
320,227840,0.25000000000000044,70
321,231000,0.25000000000000044,70
322,234160,0.25000000000000044,70
323,237320,0.25000000000000044,70
324,240480,0.25000000000000044,70
325,243640,0.25000000000000044,70
326,246800,0.375,70
327,249960,0.375,70
328,253120,0.375,70
329,100,0.3707928158528249,80
330,200,0.48842737516209755,80
331,300,0.4171098658303978,80
332,400,0.4171098658303978,80
333,500,0.4171098658303978,80
334,600,0.4171098658303978,80
335,700,0.36917525503092646,80
336,800,0.36917525503092646,80
337,900,0.36917525503092646,80
338,1000,0.36917525503092646,80
339,1100,0.3691041975822518,80
340,1200,0.3721627695913837,80
341,1300,0.3825447650264752,80
342,1400,0.38254566784619226,80
343,1500,0.38254566784619226,80
344,1600,0.5000000000000004,80
345,1700,0.5000000000000004,80
346,1800,0.38254566784619226,80
347,1900,0.375,80
348,2000,0.3875002213609653,80
349,2100,0.3875002213609653,80
350,2200,0.3875002213609653,80
351,2300,0.3875002213609653,80
352,2400,0.375,80
353,2500,0.375,80
354,2600,0.375,80
355,2700,0.375,80
356,2800,0.375,80
357,2900,0.375,80
358,3000,0.375,80
359,3100,0.375,80
360,3200,0.375,80
361,3300,0.3780008899477733,80
362,3400,0.3780008899477733,80
363,3500,0.3780008899477733,80
364,3600,0.3780008899477733,80
365,3700,0.375,80
366,3800,0.375,80
367,3900,0.375,80
368,4000,0.375,80
369,4100,0.375,80
370,4200,0.375,80
371,4300,0.375,80
372,4400,0.375,80
373,4500,0.375,80
374,4600,0.375,80
375,4700,0.375,80
376,4800,0.375,80
377,4900,0.375,80
378,5000,0.375,80
379,5100,0.375,80
380,5200,0.375,80
381,5300,0.375,80
382,5400,0.375,80
383,5500,0.375,80
384,5600,0.375,80
385,5700,0.375,80
386,5800,0.375,80
387,5900,0.375,80
388,6000,0.375,80
389,6100,0.375,80
390,6200,0.375,80
391,6300,0.375,80
392,6400,0.375,80
393,6500,0.375,80
