,nfe,hypervolume,epsilon_indicator,seed
0,100,0.009656601859612545,0.6666889763089453,70
1,200,0.016535764274388062,0.6666889763089453,70
2,300,0.024768970186401004,0.6409801856991454,70
3,400,0.030216422790923757,0.6233885587293301,70
4,500,0.03923904002054443,0.6233885587293301,70
5,100,0.009019108020411464,0.6841364006684777,80
6,200,0.010565897010324937,0.6601816131796153,80
7,300,0.01780161998555952,0.6601816131796153,80
8,400,0.02797540637659567,0.6601816131796153,80
9,500,0.03384236269833639,0.6601816131796153,80
10,100,0.005572353252997198,0.6501888305587668,30
11,200,0.013650947849755575,0.6501888305587668,30
12,300,0.017326725238920492,0.6501888305587668,30
13,400,0.0323919871804437,0.6501888305587668,30
14,500,0.03705629560428345,0.6112121700911729,30
15,100,0.008861876833209041,0.6292587559078273,60
16,200,0.01154022110413679,0.622785397521078,60
17,300,0.0172842487496569,0.6107701432703408,60
18,400,0.022651595523678174,0.6107701432703408,60
19,500,0.02883224186788358,0.6107701432703408,60
20,100,0.007460395123428962,0.7068395767264152,90
21,200,0.0162441542806563,0.7068395767264152,90
22,300,0.0196693932580373,0.7021898419452421,90
23,400,0.0321752215178503,0.6599489184915598,90
24,500,0.04083155030075832,0.6599489184915598,90
25,100,0.0034452033225713455,0.6279191038341236,20
26,200,0.01881733631066933,0.6279191038341236,20
27,300,0.021415768762865814,0.6001393795800236,20
28,400,0.03545480402842167,0.6001393795800236,20
29,500,0.04540947224850316,0.6001393795800236,20
30,100,0.003079109061590893,0.6786603883222956,50
31,200,0.017755918653991395,0.6786603883222956,50
32,300,0.020170820619262654,0.6881179577573702,50
33,400,0.0360925280990071,0.6495440930435418,50
34,500,0.04260784230911882,0.6147217269183664,50
35,100,0.003952376997733558,0.7024670318136638,10
36,200,0.008296393759893463,0.7018851892071519,10
37,300,0.011349699279760976,0.6459289858233418,10
38,400,0.0322050710538048,0.6459289858233418,10
39,500,0.040055765845605516,0.6459289858233418,10
40,100,0.008341529462666156,0.6980003214234936,100
41,200,0.015466543704525819,0.6980003214234936,100
42,300,0.019123411280439685,0.6980003214234936,100
43,400,0.02617576722886522,0.6864000295946372,100
44,500,0.03350328825893294,0.6864000295946372,100
45,100,0.004742024405298617,0.6837406170552971,40
46,200,0.005830384563364306,0.6796954955853337,40
47,300,0.02137009012978463,0.667370435606046,40
48,400,0.027102800178288686,0.6099997457083864,40
49,500,0.04187821900465802,0.6099997457083864,40
