,nfe,hypervolume,epsilon_indicator,seed
0,100,0.014730220630747363,0.7088375431763206,70
1,200,0.021529060125055066,0.682810702943872,70
2,300,0.04076536336303713,0.6335450485400625,70
3,400,0.044023219300099295,0.6335450485400625,70
4,500,0.055662720265913415,0.5992555646871146,70
5,100,0.007040762013342741,0.700792844690708,80
6,200,0.02371768880142787,0.7125075897790871,80
7,300,0.03390548312835731,0.6922253171412442,80
8,400,0.060361465822964026,0.633169156557047,80
9,500,0.06541499573232319,0.697264727793486,80
10,100,0.010187819325848576,0.5760923531925805,30
11,200,0.020547839074134988,0.5760923531925805,30
12,300,0.026354740426645356,0.5760923531925805,30
13,400,0.038843795997076644,0.5760923531925805,30
14,500,0.05571332455916156,0.5760923531925805,30
15,100,0.008126648739120326,0.6291036109689231,60
16,200,0.014463553094645653,0.5000000000000016,60
17,300,0.04725127429660787,0.4797239032638305,60
18,400,0.05176049910128966,0.4707953659787554,60
19,500,0.05538635167183034,0.4448055098138231,60
20,100,0.00995619849714334,0.529690060936792,90
21,200,0.015099878259403789,0.529690060936792,90
22,300,0.026146536241317176,0.529690060936792,90
23,400,0.039481394421869334,0.529690060936792,90
24,500,0.04192322696224601,0.529690060936792,90
25,100,0.005569652870906305,0.6339008873239963,20
26,200,0.008821507044650357,0.6339008873239963,20
27,300,0.03576851495038891,0.6339008873239963,20
28,400,0.04931200256539602,0.6339008873239963,20
29,500,0.05270097987057612,0.6339008873239963,20
30,100,0.009136890495512546,0.5559431141037986,50
31,200,0.017766521164050683,0.5559431141037986,50
32,300,0.042944874279099876,0.5559431141037986,50
33,400,0.0483787385960369,0.5559431141037986,50
34,500,0.05736875895429803,0.5559431141037986,50
35,100,0.010894987630578005,0.7035036427487281,10
36,200,0.01976409724637656,0.6940323713779054,10
37,300,0.028022831498390827,1.0,10
38,400,0.03509985073003949,0.6761561297689518,10
39,500,0.04032861099569922,0.6761561297689518,10
40,100,0.013399051442361618,0.5452817261971297,100
41,200,0.023869289411407875,0.5452817261971297,100
42,300,0.02872317287986146,0.5452817261971297,100
43,400,0.03678454451760862,0.5452817261971297,100
44,500,0.04938460314358147,0.5452817261971297,100
45,100,0.009071077229259658,0.6587984269323454,40
46,200,0.011418406880774258,0.6587984269323454,40
47,300,0.020041187110293398,0.4176420516741281,40
48,400,0.02368789752382066,0.4176420516741281,40
49,500,0.035695678810195156,0.4176420516741281,40
