,nfe,hypervolume,epsilon_indicator,seed
0,100,0.010944269057951275,1.0,70
1,200,0.014517790967964683,0.5978777331270656,70
2,300,0.020511061632917008,0.5978777331270656,70
3,400,0.030089734207641702,0.5978777331270656,70
4,500,0.04315389865594936,0.5978777331270656,70
5,100,0.006267443381838387,1.0,80
6,200,0.009548679298919269,0.6556843443093455,80
7,300,0.015263789102314886,0.6556843443093455,80
8,400,0.0288632218961978,0.6556843443093455,80
9,500,0.0437851216436257,0.6556843443093455,80
10,100,0.005726875514979806,0.7864746357912329,30
11,200,0.019284356823134813,0.7864746357912329,30
12,300,0.02871120004723702,0.703405571107351,30
13,400,0.04038880192325606,0.703405571107351,30
14,500,0.05372846438608795,0.678208395737409,30
15,100,0.010367039581671691,0.683708445862818,60
16,200,0.023996920140472982,0.683708445862818,60
17,300,0.033859612518365764,1.0,60
18,400,0.043011227864335415,0.9379111345959554,60
19,500,0.05422212026064353,0.6784367202054751,60
20,100,0.007116864764485607,0.720692170645742,90
21,200,0.020747633116136577,1.0,90
22,300,0.037254552411231615,0.6907344417190242,90
23,400,0.04363060857882661,0.6907344417190242,90
24,500,0.051861696106690905,0.6907344417190242,90
25,100,0.0015861654431962165,0.671924666073778,20
26,200,0.025412356877353943,0.671924666073778,20
27,300,0.037660847609229484,0.6711814331626248,20
28,400,0.04411421507091954,0.6640689821202398,20
29,500,0.053546160642365524,0.6451331147253007,20
30,100,0.00352692501115544,1.0,50
31,200,0.008557448535835503,0.705232741301805,50
32,300,0.025169593331751693,0.724131200727145,50
33,400,0.03305442879676292,1.0,50
34,500,0.04674433046960415,0.6675574857392754,50
35,100,0.005641812312320091,0.6634268187818161,10
36,200,0.016515697049040916,0.6634268187818161,10
37,300,0.027953848645094943,0.6634268187818161,10
38,400,0.048627295936835874,0.6634268187818161,10
39,500,0.06631736759580795,0.6634268187818161,10
40,100,0.010249112022585414,0.7073620064413843,100
41,200,0.016543102801783227,0.7073620064413843,100
42,300,0.0218861490684562,0.7073620064413843,100
43,400,0.0337877174023233,0.7212017696083355,100
44,500,0.04398955291403123,0.6859714931835666,100
45,100,0.005708287306432266,0.7206001806962321,40
46,200,0.013710698129219746,0.7021663618958678,40
47,300,0.022285231605897283,0.6645565150326361,40
48,400,0.03793773764085426,0.6645565150326361,40
49,500,0.04415880628304712,0.6645565150326361,40
