,nfe,improvements
0,100,18
1,200,23
2,300,29
3,400,37
4,500,45
5,600,54
6,700,74
7,800,91
8,900,107
9,1000,118
10,1100,125
11,1200,136
12,1300,143
13,1400,153
14,1500,162
15,1600,173
16,1700,184
17,1800,193
18,1900,204
19,2000,215
20,2100,230
21,2200,233
22,2300,240
23,2400,246
24,2500,249
25,2600,259
26,2700,271
27,2800,283
28,2900,294
29,3000,303
30,3100,311
31,3200,320
32,3300,329
33,3400,336
34,3500,342
35,3600,350
36,3700,363
37,3800,369
38,3900,382
39,4000,390
40,4100,394
41,4200,397
42,4300,407
43,4400,410
44,4500,418
45,4600,424
46,4700,431
47,4800,437
48,4900,447
49,5000,453
50,5100,462
51,5200,467
52,5300,473
53,5400,480
54,5500,483
55,5600,488
56,5700,493
57,5800,496
58,5900,500
59,6000,503
60,6100,509
61,6200,512
62,6300,517
63,6400,520
64,6500,526
65,6600,530
66,6700,534
67,6800,538
68,6900,541
69,7000,547
70,7100,549
71,7200,555
72,7300,559
73,7400,561
74,7500,565
75,7600,570
76,7700,575
77,7800,578
78,7900,583
79,8000,584
80,8100,591
81,8200,596
82,8300,601
83,8400,606
84,8500,609
85,8600,614
86,8700,621
87,8800,627
88,8900,632
89,9000,634
90,9100,638
91,9200,639
92,9300,641
93,9400,642
94,9500,645
95,9600,648
96,9700,649
97,9800,651
98,9900,657
99,10453,659
100,11057,683
101,11661,712
102,12265,748
103,12869,788
104,13473,849
105,14077,890
106,14681,935
107,15285,971
108,15889,996
109,16493,1038
110,17097,1065
111,17701,1094
112,18305,1115
113,18909,1134
114,19513,1152
115,20117,1176
116,20721,1191
117,21325,1211
118,21929,1242
119,22533,1265
120,23137,1291
121,23741,1309
122,24345,1326
123,24949,1339
124,25553,1353
125,26157,1368
126,26761,1385
127,27365,1405
128,27969,1419
129,28573,1428
130,29177,1443
131,29781,1459
132,30385,1475
133,30989,1492
134,31593,1516
135,32197,1532
136,32801,1548
137,33405,1560
138,34009,1577
139,34613,1598
140,35217,1615
141,35821,1629
142,36425,1639
143,37029,1657
144,37633,1674
145,38237,1693
146,38841,1714
147,39445,1733
148,40049,1755
149,40653,1770
150,41257,1796
151,41861,1810
152,42465,1816
153,43069,1837
154,43673,1849
155,44277,1864
156,44881,1879
157,45485,1898
158,46089,1920
159,46693,1938
160,47297,1951
161,47901,1969
162,48505,1978
163,49109,1998
164,49713,2011
165,50317,2022
166,50921,2046
167,51525,2072
168,52129,2081
169,52733,2101
170,53337,2115
171,53941,2126
172,54545,2137
173,55149,2154
174,55753,2172
175,56357,2186
176,56961,2201
177,57565,2214
178,58169,2227
179,58773,2243
180,59377,2256
181,59981,2276
182,60585,2295
183,61189,2311
184,61793,2322
185,62397,2341
186,63001,2353
187,63605,2371
188,64209,2385
189,64813,2398
190,65417,2410
191,66021,2421
192,66625,2434
193,67229,2451
194,67833,2469
195,68437,2482
196,69041,2502
197,69645,2520
198,70249,2530
199,72281,2546
200,74185,2597
201,76089,2654
202,77993,2736
203,79897,2820
204,81801,2918
205,83705,2996
206,85609,3093
207,87513,3174
208,89417,3265
209,91321,3333
210,93225,3400
211,95129,3479
212,97033,3547
213,98937,3605
214,100841,3659
215,102745,3701
216,104649,3756
217,106553,3811
218,108457,3874
219,110361,3915
220,112265,3974
221,114169,4017
222,116073,4057
223,117977,4106
224,119881,4155
225,121785,4202
226,123689,4248
227,125593,4298
228,127497,4354
229,129401,4412
230,131305,4476
231,133209,4533
232,135113,4584
233,137017,4629
234,138921,4684
235,140825,4735
236,142729,4789
237,144633,4836
238,146537,4893
239,148441,4944
240,150345,5000
241,152249,5046
242,154153,5114
243,156057,5174
244,157961,5230
245,159865,5278
246,161769,5329
247,163673,5381
248,165577,5424
249,167481,5494
250,169385,5544
251,171289,5602
252,173193,5677
253,175097,5738
254,177001,5790
255,178905,5859
256,180809,5914
257,182713,5978
258,184617,6038
259,186521,6096
260,188425,6155
261,190329,6216
262,192233,6274
263,194137,6341
264,196041,6400
265,197945,6465
266,199849,6522
267,201753,6568
268,203657,6624
269,205561,6684
270,207465,6727
271,209369,6785
272,211273,6846
273,213177,6888
274,215081,6934
275,216985,6978
276,218889,7022
277,220793,7071
278,222697,7120
279,224601,7168
280,226505,7206
281,228409,7255
282,230313,7293
283,232217,7342
284,234121,7381
285,236025,7429
286,237929,7475
287,239833,7520
288,241737,7569
289,243641,7608
290,245545,7669
291,247449,7719
292,249353,7761
293,251257,7804
