,nfe,improvements
0,100,32
1,200,47
2,300,68
3,400,88
4,500,106
5,600,123
6,700,141
7,800,159
8,900,171
9,1000,183
10,1100,195
11,1200,206
12,1300,214
13,1400,224
14,1500,234
15,1600,239
16,1700,244
17,1800,254
18,1900,261
19,2000,266
20,2100,272
21,2200,277
22,2300,284
23,2400,287
24,2500,291
25,2600,297
26,2700,301
27,2800,304
28,2900,307
29,3000,312
30,3100,317
31,3200,323
32,3300,327
33,3400,331
34,3500,335
35,3600,338
36,3700,341
37,3800,345
38,3900,351
39,4000,353
40,4100,356
41,4200,359
42,4300,362
43,4400,366
44,4500,370
45,4600,373
46,4700,376
47,4800,380
48,4900,381
49,5000,387
50,5100,391
51,5200,397
52,5300,400
53,5400,402
54,5500,406
55,5600,408
56,5700,413
57,5800,419
58,5900,422
59,6000,426
60,6100,430
61,6200,434
62,6300,439
63,6400,444
64,6500,447
65,6600,449
66,6700,452
67,6800,455
68,6900,460
69,7000,469
70,7100,469
71,7200,472
72,7300,475
73,7400,481
74,7500,484
75,7600,486
76,7700,488
77,7800,491
78,7900,497
79,8000,499
80,8100,504
81,8200,507
82,8300,509
83,8400,511
84,8500,516
85,8600,520
86,8700,525
87,8800,530
88,8900,535
89,9000,539
90,9100,542
91,9200,544
92,9300,551
93,9400,555
94,9500,557
95,9600,560
96,9700,565
97,9800,570
98,9900,573
99,10474,579
100,11106,592
101,11738,618
102,12370,642
103,13002,674
104,13634,692
105,14266,722
106,14898,748
107,15530,785
108,16162,817
109,16794,850
110,17426,879
111,18058,904
112,18690,929
113,19322,950
114,19954,971
115,20586,996
116,21218,1017
117,21850,1030
118,22482,1058
119,23114,1077
120,23746,1096
121,24378,1117
122,25010,1140
123,25642,1157
124,26274,1176
125,26906,1192
126,27538,1205
127,28170,1219
128,28802,1234
129,29434,1246
130,30066,1262
131,30698,1273
132,31330,1286
133,31962,1301
134,32594,1316
135,33226,1331
136,33858,1343
137,34490,1354
138,35122,1369
139,35754,1385
140,36386,1401
141,37018,1414
142,37650,1434
143,38282,1447
144,38914,1462
145,39546,1471
146,40178,1485
147,40810,1501
148,41442,1515
149,42074,1528
150,42706,1544
151,43338,1557
152,43970,1569
153,44602,1591
154,45234,1604
155,45866,1621
156,46498,1641
157,47130,1654
158,47762,1663
159,48394,1681
160,49026,1699
161,49658,1720
162,50290,1734
163,50922,1746
164,51554,1760
165,52186,1775
166,52818,1789
167,53450,1800
168,54082,1818
169,54714,1832
170,55346,1847
171,55978,1867
172,56610,1878
173,57242,1892
174,57874,1911
175,58506,1924
176,59138,1931
177,59770,1944
178,60402,1961
179,61034,1971
180,61666,1986
181,62298,2008
182,62930,2019
183,63562,2033
184,64194,2050
185,64826,2065
186,65458,2077
187,66090,2094
188,66722,2107
189,67354,2120
190,67986,2129
191,68618,2141
192,69250,2157
193,69882,2169
194,70514,2178
195,71146,2194
196,71778,2212
197,72410,2225
198,73042,2239
199,75570,2251
200,78098,2272
201,80626,2315
202,83154,2363
203,85682,2440
204,88210,2496
205,90738,2561
206,93266,2641
207,95794,2717
208,98322,2799
209,100850,2901
210,103378,2971
211,105906,3040
212,108434,3116
213,110962,3187
214,113490,3264
215,116018,3331
216,118546,3411
217,121074,3476
218,123602,3532
219,126130,3593
220,128658,3648
221,131186,3695
222,133714,3754
223,136242,3814
224,138770,3865
225,141298,3924
226,143826,3965
227,146354,4027
228,148882,4070
229,151410,4130
230,153938,4188
231,156466,4228
232,158994,4272
233,161522,4304
234,164050,4350
235,166578,4394
236,169106,4436
237,171634,4476
238,174162,4525
239,176690,4572
240,179218,4613
241,181746,4656
242,184274,4693
243,186802,4732
244,189330,4764
245,191858,4787
246,194386,4825
247,196914,4853
248,199442,4893
249,201970,4933
250,204498,4977
251,207026,5023
252,209554,5063
253,212082,5097
254,214610,5140
255,217138,5178
256,219666,5223
257,222194,5252
258,224722,5282
259,227250,5313
260,229778,5339
261,232306,5367
262,234834,5403
263,237362,5443
264,239890,5479
265,242418,5513
266,244946,5545
267,247474,5586
268,250002,5630
