,nfe,improvements
0,100,16
1,200,29
2,300,45
3,400,58
4,500,73
5,600,87
6,700,105
7,800,134
8,900,154
9,1000,167
10,1100,184
11,1200,193
12,1300,198
13,1400,211
14,1500,223
15,1600,231
16,1700,241
17,1800,250
18,1900,260
19,2000,266
20,2100,278
21,2200,287
22,2300,294
23,2400,297
24,2500,300
25,2600,310
26,2700,311
27,2800,318
28,2900,324
29,3000,329
30,3100,335
31,3200,342
32,3300,346
33,3400,350
34,3500,355
35,3600,359
36,3700,368
37,3800,370
38,3900,374
39,4000,376
40,4100,390
41,4200,399
42,4300,405
43,4400,413
44,4500,419
45,4600,422
46,4700,426
47,4800,433
48,4900,440
49,5000,442
50,5100,449
51,5200,454
52,5300,459
53,5400,466
54,5500,470
55,5600,474
56,5700,483
57,5800,488
58,5900,492
59,6000,497
60,6100,501
61,6200,509
62,6300,514
63,6400,518
64,6500,523
65,6600,529
66,6700,533
67,6800,535
68,6900,538
69,7000,541
70,7100,544
71,7200,547
72,7300,549
73,7400,556
74,7500,560
75,7600,562
76,7700,566
77,7800,571
78,7900,574
79,8000,577
80,8100,577
81,8200,582
82,8300,586
83,8400,593
84,8500,594
85,8600,597
86,8700,601
87,8800,606
88,8900,608
89,9000,612
90,9100,616
91,9200,616
92,9300,619
93,9400,622
94,9500,629
95,9600,635
96,9700,638
97,9800,642
98,9900,648
99,10519,658
100,11211,669
101,11903,694
102,12595,729
103,13287,761
104,13979,785
105,14671,816
106,15363,850
107,16055,885
108,16747,906
109,17439,933
110,18131,959
111,18823,993
112,19515,1027
113,20207,1067
114,20899,1093
115,21591,1125
116,22283,1163
117,22975,1190
118,23667,1214
119,24359,1248
120,25051,1277
121,25743,1291
122,26435,1320
123,27127,1346
124,27819,1374
125,28511,1408
126,29203,1422
127,29895,1450
128,30587,1476
129,31279,1507
130,31971,1539
131,32663,1576
132,33355,1609
133,34047,1638
134,34739,1663
135,35431,1691
136,36123,1713
137,36815,1740
138,37507,1756
139,38199,1777
140,38891,1793
141,39583,1816
142,40275,1838
143,40967,1864
144,41659,1885
145,42351,1919
146,43043,1950
147,43735,1980
148,44427,2010
149,45119,2039
150,45811,2056
151,46503,2083
152,47195,2105
153,47887,2133
154,48579,2161
155,49271,2192
156,49963,2225
157,50655,2248
158,51347,2279
159,52039,2301
160,52731,2321
161,53423,2336
162,54115,2352
163,54807,2374
164,55499,2398
165,56191,2420
166,56883,2439
167,57575,2460
168,58267,2482
169,58959,2506
170,59651,2528
171,60343,2552
172,61035,2574
173,61727,2592
174,62419,2619
175,63111,2630
176,63803,2652
177,64495,2666
178,65187,2680
179,65879,2704
180,66571,2725
181,67263,2746
182,67955,2759
183,68647,2777
184,69339,2794
185,70031,2818
186,70723,2832
187,71415,2856
188,72107,2878
189,72799,2904
190,73491,2929
191,74183,2948
192,74875,2967
193,75567,2991
194,76259,3008
195,76951,3031
196,77643,3056
197,78335,3075
198,79027,3090
199,82236,3102
200,85592,3185
201,88948,3281
202,92304,3397
203,95660,3546
204,99016,3741
205,102372,3909
206,105728,4086
207,109084,4278
208,112440,4500
209,115796,4689
210,119152,4867
211,122508,5025
212,125864,5183
213,129220,5338
214,132576,5483
215,135932,5606
216,139288,5749
217,142644,5866
218,146000,5986
219,149356,6110
220,152712,6226
221,156068,6317
222,159424,6400
223,162780,6484
224,166136,6578
225,169492,6666
226,172848,6754
227,176204,6843
228,179560,6934
229,182916,7013
230,186272,7107
231,189628,7202
232,192984,7296
233,196340,7386
234,199696,7463
235,203052,7542
236,206408,7614
237,209764,7696
238,213120,7788
239,216476,7870
240,219832,7963
241,223188,8045
242,226544,8125
243,229900,8212
244,233256,8288
245,236612,8374
246,239968,8453
247,243324,8529
248,246680,8606
249,250036,8690
