,nfe,improvements
0,100,24
1,200,43
2,300,60
3,400,73
4,500,92
5,600,117
6,700,137
7,800,155
8,900,169
9,1000,175
10,1100,184
11,1200,193
12,1300,203
13,1400,211
14,1500,222
15,1600,231
16,1700,234
17,1800,242
18,1900,245
19,2000,248
20,2100,258
21,2200,263
22,2300,274
23,2400,278
24,2500,284
25,2600,290
26,2700,296
27,2800,297
28,2900,302
29,3000,306
30,3100,313
31,3200,317
32,3300,319
33,3400,326
34,3500,329
35,3600,332
36,3700,337
37,3800,341
38,3900,345
39,4000,350
40,4100,354
41,4200,358
42,4300,366
43,4400,369
44,4500,372
45,4600,374
46,4700,377
47,4800,378
48,4900,383
49,5000,386
50,5100,389
51,5200,392
52,5300,393
53,5400,395
54,5500,403
55,5600,405
56,5700,408
57,5800,412
58,5900,415
59,6000,416
60,6100,418
61,6200,419
62,6300,423
63,6400,428
64,6500,429
65,6600,430
66,6700,432
67,6800,436
68,6900,438
69,7000,439
70,7100,441
71,7200,443
72,7300,446
73,7400,449
74,7500,451
75,7600,453
76,7700,456
77,7800,458
78,7900,460
79,8000,463
80,8100,466
81,8200,466
82,8300,468
83,8400,468
84,8500,472
85,8600,474
86,8700,477
87,8800,480
88,8900,481
89,9000,487
90,9100,490
91,9200,494
92,9300,498
93,9400,500
94,9500,503
95,9600,504
96,9700,509
97,9800,511
98,9900,513
99,10369,515
100,10861,520
101,11353,529
102,11845,544
103,12337,566
104,12829,587
105,13321,604
106,13813,622
107,14305,641
108,14797,660
109,15289,676
110,15781,694
111,16273,715
112,16765,728
113,17257,750
114,17749,764
115,18241,785
116,18733,810
117,19225,826
118,19717,835
119,20209,845
120,20701,857
121,21193,867
122,21685,880
123,22177,888
124,22669,903
125,23161,915
126,23653,925
127,24145,936
128,24637,954
129,25129,966
130,25621,977
131,26113,990
132,26605,998
133,27097,1008
134,27589,1018
135,28081,1033
136,28573,1043
137,29065,1056
138,29557,1061
139,30049,1067
140,30541,1082
141,31033,1086
142,31525,1100
143,32017,1107
144,32509,1116
145,33001,1125
146,33493,1136
147,33985,1145
148,34477,1154
149,34969,1167
150,35461,1180
151,35953,1187
152,36445,1197
153,36937,1201
154,37429,1209
155,37921,1219
156,38413,1232
157,38905,1240
158,39397,1255
159,39889,1261
160,40381,1266
161,40873,1272
162,41365,1279
163,41857,1285
164,42349,1294
165,42841,1302
166,43333,1306
167,43825,1320
168,44317,1328
169,44809,1336
170,45301,1346
171,45793,1357
172,46285,1370
173,46777,1376
174,47269,1386
175,47761,1398
176,48253,1409
177,48745,1418
178,49237,1430
179,49729,1444
180,50221,1450
181,50713,1459
182,51205,1474
183,51697,1482
184,52189,1493
185,52681,1503
186,53173,1516
187,53665,1526
188,54157,1532
189,54649,1540
190,55141,1548
191,55633,1556
192,56125,1562
193,56617,1571
194,57109,1577
195,57601,1589
196,58093,1600
197,58585,1606
198,59077,1614
199,60676,1620
200,62152,1630
201,63628,1658
202,65104,1684
203,66580,1717
204,68056,1767
205,69532,1811
206,71008,1855
207,72484,1905
208,73960,1952
209,75436,1998
210,76912,2048
211,78388,2102
212,79864,2152
213,81340,2203
214,82816,2253
215,84292,2302
216,85768,2344
217,87244,2381
218,88720,2428
219,90196,2473
220,91672,2505
221,93148,2543
222,94624,2572
223,96100,2600
224,97576,2638
225,99052,2670
226,100528,2707
