,nfe,improvements
0,100,17
1,200,29
2,300,42
3,400,62
4,500,88
5,600,114
6,700,129
7,800,152
8,900,172
9,1000,187
10,1100,205
11,1200,217
12,1300,235
13,1400,247
14,1500,263
15,1600,275
16,1700,289
17,1800,302
18,1900,309
19,2000,319
20,2100,332
21,2200,341
22,2300,352
23,2400,364
24,2500,369
25,2600,379
26,2700,382
27,2800,397
28,2900,404
29,3000,411
30,3100,424
31,3200,428
32,3300,435
33,3400,442
34,3500,447
35,3600,458
36,3700,462
37,3800,466
38,3900,470
39,4000,472
40,4100,472
41,4200,475
42,4300,478
43,4400,479
44,4500,481
45,4600,484
46,4700,486
47,4800,488
48,4900,490
49,5000,491
50,5100,492
51,5200,494
52,5300,496
53,5400,499
54,5500,500
55,5600,505
56,5700,508
57,5800,510
58,5900,511
59,6000,517
60,6100,518
61,6200,523
62,6300,526
63,6400,527
64,6500,532
65,6600,535
66,6700,536
67,6800,538
68,6900,542
69,7000,544
70,7100,550
71,7200,551
72,7300,553
73,7400,556
74,7500,559
75,7600,559
76,7700,562
77,7800,563
78,7900,567
79,8000,570
80,8100,572
81,8200,574
82,8300,578
83,8400,582
84,8500,588
85,8600,589
86,8700,591
87,8800,596
88,8900,599
89,9000,602
90,9100,603
91,9200,608
92,9300,609
93,9400,610
94,9500,611
95,9600,614
96,9700,616
97,9800,617
98,9900,618
99,10369,619
100,10861,625
101,11353,644
102,11845,665
103,12337,683
104,12829,702
105,13321,715
106,13813,732
107,14305,751
108,14797,769
109,15289,783
110,15781,803
111,16273,822
112,16765,835
113,17257,846
114,17749,862
115,18241,876
116,18733,896
117,19225,913
118,19717,925
119,20209,938
120,20701,953
121,21193,963
122,21685,975
123,22177,989
124,22669,1004
125,23161,1010
126,23653,1019
127,24145,1026
128,24637,1035
129,25129,1045
130,25621,1053
131,26113,1058
132,26605,1070
133,27097,1080
134,27589,1092
135,28081,1106
136,28573,1109
137,29065,1117
138,29557,1121
139,30049,1128
140,30541,1139
141,31033,1155
142,31525,1165
143,32017,1173
144,32509,1181
145,33001,1188
146,33493,1191
147,33985,1199
148,34477,1215
149,34969,1221
150,35461,1226
151,35953,1233
152,36445,1242
153,36937,1254
154,37429,1261
155,37921,1273
156,38413,1282
157,38905,1296
158,39397,1303
159,39889,1319
160,40381,1328
161,40873,1335
162,41365,1342
163,41857,1357
164,42349,1362
165,42841,1370
166,43333,1376
167,43825,1391
168,44317,1399
169,44809,1409
170,45301,1421
171,45793,1429
172,46285,1435
173,46777,1445
174,47269,1448
175,47761,1454
176,48253,1462
177,48745,1467
178,49237,1472
179,49729,1480
180,50221,1488
181,50713,1493
182,51205,1494
183,51697,1496
184,52189,1506
185,52681,1511
186,53173,1518
187,53665,1527
188,54157,1532
189,54649,1535
190,55141,1544
191,55633,1550
192,56125,1561
193,56617,1566
194,57109,1573
195,57601,1576
196,58093,1582
197,58585,1593
198,59077,1603
199,60496,1611
200,61732,1627
201,62968,1637
202,64204,1667
203,65440,1693
204,66676,1716
205,67912,1745
206,69148,1775
207,70384,1794
208,71620,1827
209,72856,1853
210,74092,1888
211,75328,1909
212,76564,1934
213,77800,1959
214,79036,1991
215,80272,2011
216,81508,2034
217,82744,2053
218,83980,2076
219,85216,2099
220,86452,2129
221,87688,2156
222,88924,2176
223,90160,2192
224,91396,2217
225,92632,2237
226,93868,2248
227,95104,2262
228,96340,2287
229,97576,2314
230,98812,2337
231,100048,2360
