,nfe,improvements
0,100,23
1,200,39
2,300,65
3,400,87
4,500,118
5,600,142
6,700,168
7,800,183
8,900,204
9,1000,219
10,1100,237
11,1200,251
12,1300,264
13,1400,283
14,1500,296
15,1600,309
16,1700,320
17,1800,334
18,1900,341
19,2000,350
20,2100,365
21,2200,371
22,2300,382
23,2400,394
24,2500,410
25,2600,417
26,2700,423
27,2800,434
28,2900,443
29,3000,452
30,3100,458
31,3200,463
32,3300,469
33,3400,474
34,3500,480
35,3600,489
36,3700,495
37,3800,501
38,3900,508
39,4000,516
40,4100,519
41,4200,526
42,4300,531
43,4400,537
44,4500,544
45,4600,549
46,4700,551
47,4800,560
48,4900,566
49,5000,571
50,5100,575
51,5200,581
52,5300,587
53,5400,596
54,5500,601
55,5600,608
56,5700,613
57,5800,621
58,5900,633
59,6000,641
60,6100,650
61,6200,661
62,6300,667
63,6400,673
64,6500,680
65,6600,687
66,6700,692
67,6800,698
68,6900,702
69,7000,709
70,7100,715
71,7200,722
72,7300,733
73,7400,741
74,7500,744
75,7600,755
76,7700,761
77,7800,768
78,7900,771
79,8000,773
80,8100,783
81,8200,787
82,8300,792
83,8400,802
84,8500,807
85,8600,812
86,8700,815
87,8800,819
88,8900,823
89,9000,829
90,9100,835
91,9200,845
92,9300,850
93,9400,854
94,9500,862
95,9600,867
96,9700,871
97,9800,874
98,9900,880
99,10693,887
100,11617,916
101,12541,957
102,13465,996
103,14389,1047
104,15313,1111
105,16237,1170
106,17161,1222
107,18085,1280
108,19009,1336
109,19933,1390
110,20857,1434
111,21781,1499
112,22705,1559
113,23629,1607
114,24553,1690
115,25477,1768
116,26401,1841
117,27325,1905
118,28249,1975
119,29173,2050
120,30097,2118
121,31021,2193
122,31945,2270
123,32869,2356
124,33793,2429
125,34717,2514
126,35641,2600
127,36565,2685
128,37489,2777
129,38413,2852
130,39337,2923
131,40261,2991
132,41185,3062
133,42109,3138
134,43033,3209
135,43957,3278
136,44881,3350
137,45805,3423
138,46729,3485
139,47653,3540
140,48577,3596
141,49501,3655
142,50425,3714
143,51349,3776
144,52273,3839
145,53197,3895
146,54121,3946
147,55045,3999
148,55969,4049
149,56893,4114
150,57817,4163
151,58741,4227
152,59665,4288
153,60589,4349
154,61513,4412
155,62437,4476
156,63361,4545
157,64285,4612
158,65209,4676
159,66133,4739
160,67057,4783
161,67981,4841
162,68905,4899
163,69829,4959
164,70753,5010
165,71677,5066
166,72601,5133
167,73525,5194
168,74449,5249
169,75373,5303
170,76297,5365
171,77221,5418
172,78145,5468
173,79069,5518
174,79993,5573
175,80917,5622
176,81841,5667
177,82765,5712
178,83689,5759
179,84613,5807
180,85537,5847
181,86461,5896
182,87385,5938
183,88309,5966
184,89233,5998
185,90157,6040
186,91081,6087
187,92005,6131
188,92929,6174
189,93853,6222
190,94777,6267
191,95701,6308
192,96625,6344
193,97549,6383
194,98473,6412
195,99397,6446
196,100321,6489
